sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-1_Femur_L,455.829671567842,2.54439126939124,4.26764078407145,3.52122421512641,1.78475094877234,12.1180072173614,773.660146507764,102.04626155632,44591.9998158516,52688.428363556,6479.05803233694,41000.4345252523,56279.9936541553,-60.9988853337692,680.846562356831,95.1355353058037,34302.7928092757,40313.2116408181,-183.873661375804,34297.172911388,40318.8315387057,88.2493619835746,649.538560921341,95.0061524656738,32722.7229425787,36944.1883202662,-4939.68868959629,29461.7038841915,40205.2073786534,56.568527514472,723.4030292815,97.5945799873931,40409.8432812103,43737.2097910872,-1776.14285919852,39639.9026068934,44507.1504654041,66.563736620425,1028.39597532144,117.10685431373,70854.4209789862,103452.399225427,7567.43080938436,69183.3501275244,105123.470076888,-77.5475534167548
AKMI_T7-2_Femur_R,453.063153810554,2.52709132553303,4.34516229293434,3.74752232748356,1.83647815270362,12.4562540986545,769.26906541986,101.502080775966,42802.8237242136,53860.095232739,-6356.78147644543,39906.8239348702,56756.0950220825,65.5071086782518,676.590351685796,94.6771483911382,35746.8879237941,37919.8737767115,-1581.55999902312,34914.5794249473,38752.1822755584,62.2440552377361,610.735144964752,93.0601226281868,30876.4114726899,31201.2146040416,3341.8228215281,27693.0464537068,34384.5796230246,-46.3910985410349,667.839071581726,94.2549630743418,36235.2385979792,35583.5353354871,318.842426047459,35453.4924852645,36365.2814482018,-22.1885483519033,988.025128952278,114.220348974682,66983.7510081537,92348.9545932476,-5281.11493517165,65928.1373712204,93404.5682301809,78.6964243501085
AKP_T81-3_Femur_R,458.334966818511,2.67373347975198,5.18887084320427,4.17799715774067,1.51207247957325,13.5526739602702,971.071037880257,118.256003537772,68018.1774501698,86037.7480857419,-2210.15037632242,67751.0561629204,86304.8693729913,83.1085924453669,622.816089291615,91.7575708229921,28563.0006334493,34456.0808337006,-2395.75012930076,27711.9471213393,35307.1343458106,70.4431976739737,587.703912837604,88.8151329510784,27603.5255822154,28522.8624291191,3556.96611359244,24476.6492906576,31649.7387206769,-48.6817750654749,632.786797876917,92.9543789770743,36057.1763659859,29313.6875842539,797.193341220043,29220.7274479456,36150.1365022941,-6.65118079233659,837.436246554217,105.313635472768,49639.6422513826,64754.2780259254,-5588.10824154973,47798.0236366583,66595.8966406498,71.7598320267431
AKP_T82-20_Femur_R,391.715087793229,1.74544604372336,3.90073993684018,3.90443187848056,1.75811165001867,11.3087295090628,529.307172867289,85.1317941923212,19609.1264589488,26411.2185961842,-2567.61915517254,18748.742898103,27271.6021570299,71.4745131715881,400.386955209261,71.9846178076298,12926.942722649,13024.9538623885,-2235.04449718561,10740.3666119984,15211.529973039,45.6280327994151,376.046527728719,71.140385643997,11372.7492526543,11545.0080205115,181.597104664249,11257.8916240713,11659.8656490946,-57.6872193559118,406.384889415117,72.6304523753962,13587.6870205361,12934.6396779084,-470.122732732847,12688.7709211098,13833.5557773347,27.6090473068313,562.375082696699,86.8967255306486,20455.4452098354,32260.5402478787,-2596.81087746076,19909.4662345634,32806.5192231507,78.1265134419082
AKP_T82-23_Femur_L,398.349495772498,1.94554860431386,3.49142291542121,3.17859766288958,1.6567494041887,10.2723185868134,518.883030553658,84.7060820579288,18759.7068635512,25164.3523391928,1576.87865611221,18392.5174199575,25531.5417827865,-76.8917869569652,389.980718273003,71.0944650583235,11287.8609191335,13222.5371792133,1378.97055002548,10570.7695209156,13939.6285774311,-62.5246947318418,373.748781924277,69.624125519022,10570.0304024811,11917.2711859086,-776.120346213697,10215.9702874519,12271.3313009378,65.4778941883597,404.214997953565,72.3255214173592,12451.3912877794,13714.4034657995,341.671969979421,12364.8864607677,13800.9082928112,-75.7923522997714,565.740452436776,87.622060209005,20194.4553667479,33586.5708271117,3220.11694812897,19460.4160393163,34320.6101545433,-77.1586092058139
AKP_T84-16_Femur_R,462.967743440611,2.85157806974145,4.49108132230379,3.05794888778606,1.4380078565175,11.8386161363488,811.517279525865,107.748805083846,48668.8371314437,61191.8789997077,-6968.59732474446,45561.9007174843,64298.8154136671,65.9703845391166,698.029973292105,95.3598829636233,35458.1880856216,42643.1674251491,987.953926676029,35324.8174535767,42776.538057194,-82.3117315319858,711.687457778061,98.5731956901091,44786.1764880832,38840.5180233917,6760.66471130985,34427.935893908,49198.7586175669,-33.131868174625,797.614246619656,103.074394401342,56614.7467065603,46543.4655987844,508.589881752642,46517.8474697179,56640.3648356268,-2.88360272931495,1023.99914579727,116.975587695819,73277.7042907866,101177.019866198,-15696.0357150878,66228.3504454794,108226.373711505,65.8143490544416
AKP_T98-1_Femur_L,427.609320694077,2.05031856471539,2.54985774792906,1.82323739794208,0.431961899061728,6.85537560964827,717.216551668254,102.195041144077,31655.7939349659,56920.8729402192,-1716.38210363782,31539.7248150365,57036.9420601486,86.1313036961566,545.525012888484,85.0292024651559,27788.1801589984,20478.1986048657,2498.32889278592,19705.9323488506,28560.4464150135,-17.1770655821127,501.646557182577,83.1870757331584,23103.3120439132,18522.3081139566,-1751.13926246828,17929.602148846,23696.0180090238,18.6993549307451,527.978398288742,83.7481359818814,22396.1754660183,22663.3222839594,790.403249139566,21728.1385258576,23331.3592241202,-49.7960078109729,713.758958943465,98.6847147494856,31325.0136736556,54894.2587156737,4711.15931550302,30418.2079827287,55801.0644066006,-79.104932358186
AKS_T12-2_Femur_R,416.682479135271,1.86070435230386,3.32033098707642,3.56956468556663,2.04721004605279,10.7978100709997,535.424126638768,86.9499444492324,29002.7774356993,20273.6101831058,-7474.37302228537,15982.7999820135,33293.5876367916,29.8588226100141,382.523207385499,71.0969823139614,13625.3783079619,10591.9154815482,-2606.13856364485,9093.28084853025,15124.0129409799,29.9006359670308,371.667516438719,70.1273211698873,11561.3668556253,10682.9691737035,36.5752623983314,10681.448861778,11562.8871675508,-2.38022464813711,392.435210907744,71.3519840208468,12023.7024704237,12580.0558574034,104.543379865192,12004.7065018556,12599.0518259715,-79.7014767518014,591.709637299718,89.9058016444734,21223.6552168735,38051.4495356479,-163.917702382687,21222.0586639525,38053.0460885689,89.441958676206
ATE_ThT11-53_Femur_L,457.437334017057,2.63357099336575,4.50807736092878,3.61038355619706,1.53651571497721,12.2885476254688,767.161291016782,100.795067475107,39101.721974625,57932.2896066093,7104.63661436399,36721.9461995067,60312.0653817275,-71.4811625858381,659.603180122669,92.6090092746502,37270.5318760509,32707.7142981589,1826.48523157714,32066.645651187,37911.6005230229,-19.3403005374706,662.236032980345,94.9212354128667,40193.2869985826,31845.5195057362,-1095.49128308752,31704.1504577131,40334.6560466056,7.35316821888172,688.338921995975,96.3166837250958,38046.1692202516,38630.3346997901,2574.50889652345,35747.227377901,40929.2765421407,-48.2363175699,880.832443396732,109.060376544165,49497.1363931379,80427.6620446082,7572.00189165993,47742.9460650598,82181.8523726862,-76.9565023570888
AUC_1-2_Femur_L,419.662725022832,2.23156164764119,4.11219999116087,3.42668524477056,1.56166865395625,11.3321155375289,426.538730022494,75.0629912968194,13393.7652189176,16829.9445513227,3857.9263180721,10888.6537797043,19335.055990536,-57.0026659688308,411.021004579903,72.5344259400276,12958.7902375522,14130.2958430991,1322.46318874348,12098.1629963751,14990.9230842763,-56.9448895369018,416.469073003129,73.2558790243215,14025.3274893897,13757.1262513612,180.076227951876,13666.7042125136,14115.7495282374,-26.6626920944513,469.569372367044,77.7530478053547,16312.8643931959,19441.7887224775,2555.07771812232,14881.3352343783,20873.3178812951,-60.7394705954353,706.294389204606,98.1992813522975,28440.1948289494,58702.9302208283,7900.77279372393,26501.6914331738,60641.4336166038,-76.2144491369306
