,Bone.ID,Sex
1,AKMI_T7-1_Femur_L.obj,Male
2,AKMI_T7-2_Femur_R.obj,Male
20,AKP_T81-3_Femur_R.obj,Male
24,AKP_T82-20_Femur_R.obj,Female
26,AKP_T82-23_Femur_L.obj,Female
27,AKP_T84-16_Femur_R.obj,Male
36,AKP_T98-1_Femur_L.obj,Male
41,AKS_T12-2_Femur_R.obj,Female
44,ATE_ThT11-53_Femur_L.obj,Male
47,AUC_1-2_Femur_L.obj,Female
49,AUC_2-10_Femur_L.obj,Female
70,AUC_GT9-12_Femur_L.obj,Female
72,AUC_GT9-14_Femur_R.obj,Female
74,BG_150_Femur_L.obj,Female
75,BG_150_Femur_R.obj,Female
78,BG_155_Femur_L.obj,Female
79,BG_155_Femur_R.obj,Female
82,BG_170_Femur_L.obj,Female
83,BG_170_Femur_R.obj,Female
88,BG_482_Femur_L.obj,Female
89,BG_482_Femur_R.obj,Female
92,CCS_2004_Femur_R.obj,Female
95,CCS_2011_Femur_L.obj,Female
96,CCS_2011_Femur_R.obj,Female
100,CCS_2063_Femur_R.obj,Male
105,CCS_2111_Femur_R.obj,Female
108,CCS_2152_Femur_R.obj,Female
111,CCS_2162_Femur_L.obj,Male
114,CCS_2173_Femur_R.obj,Male
116,CCS_2182_Femur_R.obj,Male
119,CCS_2185_Femur_R.obj,Male
122,CCS_2189_Femur_R.obj,Female
125,CCS_2203_Femur_R.obj,Male
128,CCS_2205_Femur_R.obj,Female
132,ET10-529_Femur_R.obj,Female
137,ET15-397_Femur_R.obj,Male
142,ET16-717_Femur_R.obj,Female
145,ET2-427_Femur_L.obj,Male
146,ET2-428_Femur_R.obj,Male
152,ET24-629_Femur_L.obj,Female
153,ET24-630_Femur_R.obj,Female
157,ET33B-495_Femur_R.obj,Female
159,ET35-84_Femur_L.obj,Female
160,ET35-85_Femur_R.obj,Female
167,ET4A-758_Femur_R.obj,Male
171,ET4b-598_Femur_R.obj,Male
176,KA_T11-6_Femur_L.obj,Female
177,KA_T11-7_Femur_R.obj,Female
179,KA_T13-12_Femur_L.obj,Male
180,KA_T13-13_Femur_R.obj,Male
184,KA_T34-10_Femur_R.obj,Male
188,KA_T34-9_Femur_L.obj,Male
190,KA_T56-19_Femur_L.obj,Female
191,KA_T56-20_Femur_R.mtl,Female
194,KA_T57-2_Femur_L.obj,Male
195,KA_T57-3_Femur_R.obj,Male
202,Mauropigi_113_Femur_L.obj,Male
206,Mauropigi_119_Femur_L.obj,Male
207,Mauropigi_119_Femur_R.obj,Male
215,Mauropigi_126_Femur_R.obj,Female
217,Mauropigi_159_Femur_R.obj,Female
220,Mauropigi_187_Femur_L.obj,Male
221,Mauropigi_187_Femur_R.obj,Male
223,Mauropigi_241_Femur_L.obj,Female
224,Mauropigi_241_Femur_R.obj,Female
226,Mauropigi_244_Femur_L.obj,Male
227,Mauropigi_244_Femur_R.obj,Male
230,Mauropigi_253_Femur_L.obj,Male
238,Mauropigi_277_Femur_R.obj,Male
242,Mauropigi_281_Femur_R.obj,Male
245,Mauropigi_285_Femur_L.obj,Male
246,Mauropigi_285_Femur_R.obj,Male
248,Mauropigi_293_Femur_L.obj,Male
249,Mauropigi_293_Femur_R.obj,Male
254,Mauropigi_300_Femur_R.obj,Male
257,Mauropigi_314_Femur_L.obj,Male
258,Mauropigi_318_Femur_L.obj,Male
259,Mauropigi_318_Femur_R.obj,Male
264,Mauropigi_339_Femur_L.obj,Female
265,Mauropigi_339_Femur_R.obj,Female
273,Mauropigi_40_Femur_R.obj,Male
276,Mauropigi_403_Femur_L.obj,Male
280,Mauropigi_73_Femur_L.obj,Male
281,Mauropigi_73_Femur_R.obj,Male
285,Mauropigi_80_Femur_L.obj,Male
290,Mauropigi_98_Femur_R.obj,Male
