sample,Classifier 1,,Classifier 2,,Classifier 3,
,Sex,Prob,Sex ,Prob,Sex,Prob
AKMI_T7-1_Femur_L,1,0.96,1,0.97,1,0.96
AKMI_T7-2_Femur_R,1,0.98,1,0.98,1,0.98
AKP_T81-3_Femur_R,1,0.97,1,0.96,1,0.97
AKP_T82-20_Femur_R,2,1,2,1,2,1
AKP_T82-23_Femur_L,2,1,2,1,2,1
AKP_T84-16_Femur_R,1,0.99,1,1,1,0.99
AKP_T98-1_Femur_L,2,0.93,2,0.86,2,0.89
AKS_T12-2_Femur_R,2,1,2,1,2,0.99
ATE_ThT11-53_Femur_L,1,0.96,1,0.95,1,CC
AUC_1-2_Femur_L,2,0.99,2,0.99,2,0.98
AUC_2-10_Femur_L,2,1,2,1,2,1
AUC_ET15-9_Femur_L,2,0.94,2,0.94,2,0.92
AUC_GT9-12_Femur_L,2,1,2,0.99,2,1
AUC_GT9-14_Femur_R,2,0.99,2,0.99,2,0.99
BG_150_Femur_L,1,0.91,1,0.85,1,0.8
BG_150_Femur_R,1,0.97,1,0.96,1,0.99
BG_155_Femur_L,2,0.88,2,0.87,2,0.87
BG_155_Femur_R,2,0.58,2,0.61,1,0.51
BG_170_Femur_L,2,0.99,2,0.99,2,1
BG_170_Femur_R,2,0.96,2,0.97,2,0.94
BG_204_Femur_L,2,0.98,2,0.97,2,0.96
BG_204_Femur_R,2,0.98,2,0.98,2,0.98
BG_482_Femur_L,2,0.99,2,0.9,2,0.91
BG_482_Femur_R,2,0.98,2,0.97,2,0.97
CCS_2004_Femur_R,2,0.99,2,0.99,2,0.99
CCS_2011_Femur_L,1,0.6,1,0.81,1,0.76
CCS_2011_Femur_R,1,0.93,1,0.91,1,0.88
CCS_2063_Femur_R,2,0.78,2,0.73,2,0.59
CCS_2111_Femur_R,2,0.69,2,0.69,2,0.51
CCS_2152_Femur_R,2,0.96,2,0.97,2,0.92
CCS_2155_Femur_R,2,0.78,2,0.7,2,0.75
CCS_2162_Femur_L,1,0.68,1,0.95,1,0.77
CCS_2173_Femur_R,1,0.91,1,0.88,1,0.97
CCS_2182_Femur_R,2,0.98,2,0.98,2,0.96
CCS_2185_Femur_R,1,0.82,1,0.77,1,0.95
CCS_2189_Femur_R,2,0.98,2,0.98,2,0.96
CCS_2203_Femur_R,1,0.65,1,0.74,1,0.86
CCS_2205_Femur_R,2,0.78,2,0.8,2,0.69
ET10-529_Femur_R,2,0.99,2,0.99,2,0.99
ET15-397_Femur_R,1,1,1,1,1,0.99
ET16-717_Femur_R,2,0.98,2,0.98,2,0.98
ET2-427_Femur_L,2,0.99,2,0.99,2,0.99
ET2-428_Femur_R,2,1,2,1,2,1
ET24-629_Femur_L,2,0.77,2,0.67,1,0.67
ET24-630_Femur_R,1,0.67,1,0.64,1,0.72
ET33B-495_Femur_R,2,0.93,2,0.93,2,0.91
ET35-84_Femur_L,2,0.85,2,0.92,2,0.8
ET35-85_Femur_R,2,0.92,2,0.91,2,0.96
ET4A-758_Femur_R,1,0.53,1,0.81,1,0.7
ET4b-598_Femur_R,2,0.9,2,0.92,2,0.95
KA_T11-6_Femur_L,2,0.99,2,0.98,2,0.97
KA_T11-7_Femur_R,2,0.99,2,0.99,2,0.99
KA_T13-12_Femur_L,2,0.99,2,0.97,2,0.96
KA_T13-13_Femur_R,2,0.99,2,0.98,2,0.99
KA_T34-10_Femur_R,1,0.75,1,0.73,1,0.73
KA_T34-9_Femur_L,1,0.89,1,0.83,1,0.8
KA_T56-19_Femur_L,2,0.99,2,1,2,0.99
KA_T56-20_Femur_R,2,0.99,2,0.98,2,0.99
KA_T57-2_Femur_L,1,0.79,1,0.72,2,0.51
KA_T57-3_Femur_R,1,0.81,1,0.75,1,0.67
Mauropigi_113_Femur_L,1,0.85,1,0.83,1,0.89
Mauropigi_119_Femur_L,2,0.63,2,0.61,2,0.64
Mauropigi_119_Femur_R,1,0.68,1,0.57,2,0.64
Mauropigi_126_Femur_R,2,0.83,2,0.81,2,0.71
Mauropigi_159_Femur_R,2,0.84,2,0.84,2,0.85
Mauropigi_187_Femur_L,1,0.87,1,0.8,1,0.76
Mauropigi_187_Femur_R,1,0.81,1,0.77,1,0.67
Mauropigi_241_Femur_L,2,1,2,1,2,1
Mauropigi_241_Femur_R,2,1,2,1,2,1
Mauropigi_244_Femur_L,2,0.95,2,0.94,2,0.98
Mauropigi_244_Femur_R,2,0.88,2,0.89,2,0.89
Mauropigi_253_Femur_L,1,0.6,1,0.79,1,0.79
Mauropigi_277_Femur_R,1,0.99,1,0.99,1,0.99
Mauropigi_281_Femur_R,1,1,1,1,1,0.98
Mauropigi_285_Femur_L,1,1,1,0.99,1,0.99
Mauropigi_285_Femur_R,1,1,1,0.99,1,0.98
Mauropigi_293_Femur_L,1,0.98,1,0.97,1,0.97
Mauropigi_293_Femur_R,1,1,1,0.99,1,0.98
Mauropigi_300_Femur_R,1,0.95,1,0.95,1,0.93
Mauropigi_314_Femur_L,1,0.96,1,0.95,1,0.95
Mauropigi_318_Femur_L,1,0.91,1,0.83,1,0.79
Mauropigi_318_Femur_R,1,0.97,1,0.97,1,0.93
Mauropigi_339_Femur_L,2,1,2,1,2,1
Mauropigi_339_Femur_R,2,1,2,1,2,1
Mauropigi_403_Femur_L,1,0.99,1,1,1,1
Mauropigi_40_Femur_R,2,0.53,1,0.53,2,0.53
Mauropigi_73_Femur_L,1,0.91,1,0.82,1,0.87
Mauropigi_73_Femur_R,1,0.82,1,0.81,1,0.86
Mauropigi_80_Femur_L,1,0.67,1,0.62,1,0.79
Mauropigi_98_Femur_R,1,0.96,1,0.98,1,0.81
WS09_317_Femur_L,1,0.89,1,0.87,1,0.96
WS09_317_Femur_R,1,0.94,1,0.94,1,0.93
WS09_324_Femur_L,2,0.62,2,0.69,1,0.69
WS09_324_Femur_R,2,0.55,2,0.5,2,0.68
WS09_325_Femur_L,1,0.75,1,0.81,1,0.92
WS09_325_Femur_R,2,0.55,1,0.58,1,0.8
WS09_381_Femur_L,1,0.7,1,0.63,1,0.74
WS09_381_Femur_R,2,0.76,2,0.8,2,0.55
WS09_456_Femur_L,1,0.99,1,0.99,1,0.99
WS09_456_Femur_R,1,0.99,1,0.99,1,0.98
WS09_581_Femur_L,1,1,1,1,1,1
WS09_581_Femur_R,1,1,1,1,1,1
WS09_595_Femur_L,1,0.99,1,0.98,1,0.67
WS09_595_Femur_R,1,0.92,1,0.86,1,0.93
