sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-1_Femur_L,455.829671567842,2.54439126939124,4.26764078407145,3.52122421512641,1.78475094877234,12.1180072173614,773.660146507764,102.04626155632,44591.9998158516,52688.428363556,6479.05803233694,41000.4345252523,56279.9936541553,-60.9988853337692,680.846562356831,95.1355353058037,34302.7928092757,40313.2116408181,-183.873661375804,34297.172911388,40318.8315387057,88.2493619835746,649.538560921341,95.0061524656738,32722.7229425787,36944.1883202662,-4939.68868959629,29461.7038841915,40205.2073786534,56.568527514472,723.4030292815,97.5945799873931,40409.8432812103,43737.2097910872,-1776.14285919852,39639.9026068934,44507.1504654041,66.563736620425,1028.39597532144,117.10685431373,70854.4209789862,103452.399225427,7567.43080938436,69183.3501275244,105123.470076888,-77.5475534167548
AKP_T82-23_Femur_L,398.349495772498,1.94554860431386,3.49142291542121,3.17859766288958,1.6567494041887,10.2723185868134,518.883030553658,84.7060820579288,18759.7068635512,25164.3523391928,1576.87865611221,18392.5174199575,25531.5417827865,-76.8917869569652,389.980718273003,71.0944650583235,11287.8609191335,13222.5371792133,1378.97055002548,10570.7695209156,13939.6285774311,-62.5246947318418,373.748781924277,69.624125519022,10570.0304024811,11917.2711859086,-776.120346213697,10215.9702874519,12271.3313009378,65.4778941883597,404.214997953565,72.3255214173592,12451.3912877794,13714.4034657995,341.671969979421,12364.8864607677,13800.9082928112,-75.7923522997714,565.740452436776,87.622060209005,20194.4553667479,33586.5708271117,3220.11694812897,19460.4160393163,34320.6101545433,-77.1586092058139
AKP_T98-1_Femur_L,427.609320694077,2.05031856471539,2.54985774792906,1.82323739794208,0.431961899061728,6.85537560964827,717.216551668254,102.195041144077,31655.7939349659,56920.8729402192,-1716.38210363782,31539.7248150365,57036.9420601486,86.1313036961566,545.525012888484,85.0292024651559,27788.1801589984,20478.1986048657,2498.32889278592,19705.9323488506,28560.4464150135,-17.1770655821127,501.646557182577,83.1870757331584,23103.3120439132,18522.3081139566,-1751.13926246828,17929.602148846,23696.0180090238,18.6993549307451,527.978398288742,83.7481359818814,22396.1754660183,22663.3222839594,790.403249139566,21728.1385258576,23331.3592241202,-49.7960078109729,713.758958943465,98.6847147494856,31325.0136736556,54894.2587156737,4711.15931550302,30418.2079827287,55801.0644066006,-79.104932358186
ATE_ThT11-53_Femur_L,457.437334017057,2.63357099336575,4.50807736092878,3.61038355619706,1.53651571497721,12.2885476254688,767.161291016782,100.795067475107,39101.721974625,57932.2896066093,7104.63661436399,36721.9461995067,60312.0653817275,-71.4811625858381,659.603180122669,92.6090092746502,37270.5318760509,32707.7142981589,1826.48523157714,32066.645651187,37911.6005230229,-19.3403005374706,662.236032980345,94.9212354128667,40193.2869985826,31845.5195057362,-1095.49128308752,31704.1504577131,40334.6560466056,7.35316821888172,688.338921995975,96.3166837250958,38046.1692202516,38630.3346997901,2574.50889652345,35747.227377901,40929.2765421407,-48.2363175699,880.832443396732,109.060376544165,49497.1363931379,80427.6620446082,7572.00189165993,47742.9460650598,82181.8523726862,-76.9565023570888
AUC_1-2_Femur_L,419.662725022832,2.23156164764119,4.11219999116087,3.42668524477056,1.56166865395625,11.3321155375289,426.538730022494,75.0629912968194,13393.7652189176,16829.9445513227,3857.9263180721,10888.6537797043,19335.055990536,-57.0026659688308,411.021004579903,72.5344259400276,12958.7902375522,14130.2958430991,1322.46318874348,12098.1629963751,14990.9230842763,-56.9448895369018,416.469073003129,73.2558790243215,14025.3274893897,13757.1262513612,180.076227951876,13666.7042125136,14115.7495282374,-26.6626920944513,469.569372367044,77.7530478053547,16312.8643931959,19441.7887224775,2555.07771812232,14881.3352343783,20873.3178812951,-60.7394705954353,706.294389204606,98.1992813522975,28440.1948289494,58702.9302208283,7900.77279372393,26501.6914331738,60641.4336166038,-76.2144491369306
AUC_2-10_Femur_L,364.98311222408,2.72216241142812,4.11080104228063,3.7287672473887,1.90631242576139,12.4680431268588,505.514492987997,85.5068977386796,16285.9741650216,27243.5108554929,836.434635805291,16222.4933746869,27306.9916458276,-85.6598855571176,364.498805252426,70.382077058847,8958.2353867983,13306.5730812495,2071.20541811947,8129.58854532542,14135.2199227224,-68.1946635652818,355.58970889709,68.6556226095174,9400.14580606369,11119.3381745146,-290.154003517085,9352.49618804372,11166.9877925345,80.6740251566814,405.354166983538,72.1866569954446,12180.6133339726,14163.8911910814,-346.344611873569,12121.8702583026,14222.6342667514,80.3737435754341,593.094289403506,89.5206929607079,19675.6176321315,40745.7733798253,1592.13683557869,19555.9892448361,40865.4017671207,-85.7030410684806
AUC_ET15-9_Femur_L,416.696953517887,1.60225313255529,3.19070730512352,3.13434316299871,1.59808431650124,9.52538791717876,454.574653515574,77.4167143437356,13549.831571061,20175.1552987218,-93.9649326062294,13548.4991632252,20176.4877065575,89.1876093827775,431.879252194185,74.7619407526543,15103.026612196,14943.0930373055,-1594.63472349463,13426.4212969464,16619.6983525551,43.5645852115596,434.851649005395,75.9055337028029,16149.6721139202,14735.9801878231,-1913.67085457195,13402.7851328732,17482.8671688701,34.8637287707843,447.831007752973,75.8138193711223,15790.9239004066,16359.5462258375,-682.009095913423,15336.3377467423,16814.1323795019,56.3149681679121,525.869395739347,83.3707707239748,18723.8211638343,26828.5798859866,1927.85538523183,18288.6171137142,27263.7839361067,-77.2789849532457
AUC_GT9-12_Femur_L,426.320257998934,2.58494312520212,5.62168599452285,4.63276112037088,1.81572410264306,14.6551143427389,433.472911070236,75.8679744935497,13531.6886095472,17242.0338460494,2710.70154922978,12102.1133938687,18671.609061728,-62.1936423621091,428.785191115593,75.3654814484299,12129.2199902437,18037.8135611942,-1220.34048680049,11887.0968407927,18279.9367106452,78.7778987705571,396.768067407219,73.4917784260891,11951.2631286654,14400.843224808,-3006.60931443059,9929.5457870215,16422.5605664519,56.0821525679035,427.81654063563,74.3904939448682,13929.5511903696,15591.1696305888,-1785.8320666708,12790.7309705671,16729.9898503914,57.4744538082152,495.98416232754,82.2261917749164,15786.0703428745,25690.5549145143,1904.61850796822,15432.4408512804,26044.1844061084,-79.4816983528172
BG_150_Femur_L,469.042430902863,2.46317706393656,2.95897062982934,2.99471939284646,1.80022071524144,10.2170878018538,883.099138888684,119.864855785543,67931.9539351544,67274.5542404626,7448.39302780098,60147.6117756908,75058.8963999262,-43.7365796590307,575.293479034379,87.785025355279,21072.2525307411,34950.5992485488,6196.0027112877,18708.5996253742,37314.2521539157,-69.1191329646603,513.29026078962,81.7854095144497,17613.0397778212,25344.6549895352,-722.629052683887,17546.0797585464,25411.61500881,84.7059942684925,559.428254218118,84.905353478661,21976.6960879851,28505.832390903,-965.675277356868,21836.8650330027,28645.6634458854,81.7607621933233,800.3454372687,103.095429250947,39076.554597667,67974.1330654477,2888.72823635355,38790.614069906,68260.0735932087,-84.3469967016262
BG_155_Femur_L,439.73910207108,3.28852564775297,5.59201646411836,4.25234047257813,1.62022165239852,14.753104236848,746.676940983182,101.914521134594,45644.1831117123,46049.1206155082,3905.31970199497,41936.0872534439,49757.2164737765,-46.4839026087043,510.683505467483,81.5763521032354,23486.1923133272,19247.3814644244,4417.86971693734,16466.8427882736,26266.730989478,-32.1856747004174,480.239134550391,80.0147634004447,21433.6297070592,16199.1707834748,-66.9983325643531,16198.3133803521,21434.4871101818,0.733195839912558,501.24714873046,80.7673284646417,20141.0777818568,20380.6948061052,1119.01774385037,19135.4731295701,21386.2994583919,-48.0555688432457,629.593311146045,92.6003062208682,25870.400361821,40672.0539971509,3785.90421995776,24958.2669156712,41584.1874433007,-76.4539581092065
