sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-2_Femur_R,453.063153810554,2.52709132553303,4.34516229293434,3.74752232748356,1.83647815270362,12.4562540986545,769.26906541986,101.502080775966,42802.8237242136,53860.095232739,-6356.78147644543,39906.8239348702,56756.0950220825,65.5071086782518,676.590351685796,94.6771483911382,35746.8879237941,37919.8737767115,-1581.55999902312,34914.5794249473,38752.1822755584,62.2440552377361,610.735144964752,93.0601226281868,30876.4114726899,31201.2146040416,3341.8228215281,27693.0464537068,34384.5796230246,-46.3910985410349,667.839071581726,94.2549630743418,36235.2385979792,35583.5353354871,318.842426047459,35453.4924852645,36365.2814482018,-22.1885483519033,988.025128952278,114.220348974682,66983.7510081537,92348.9545932476,-5281.11493517165,65928.1373712204,93404.5682301809,78.6964243501085
AKP_T81-3_Femur_R,458.334966818511,2.67373347975198,5.18887084320427,4.17799715774067,1.51207247957325,13.5526739602702,971.071037880257,118.256003537772,68018.1774501698,86037.7480857419,-2210.15037632242,67751.0561629204,86304.8693729913,83.1085924453669,622.816089291615,91.7575708229921,28563.0006334493,34456.0808337006,-2395.75012930076,27711.9471213393,35307.1343458106,70.4431976739737,587.703912837604,88.8151329510784,27603.5255822154,28522.8624291191,3556.96611359244,24476.6492906576,31649.7387206769,-48.6817750654749,632.786797876917,92.9543789770743,36057.1763659859,29313.6875842539,797.193341220043,29220.7274479456,36150.1365022941,-6.65118079233659,837.436246554217,105.313635472768,49639.6422513826,64754.2780259254,-5588.10824154973,47798.0236366583,66595.8966406498,71.7598320267431
AKP_T82-20_Femur_R,391.715087793229,1.74544604372336,3.90073993684018,3.90443187848056,1.75811165001867,11.3087295090628,529.307172867289,85.1317941923212,19609.1264589488,26411.2185961842,-2567.61915517254,18748.742898103,27271.6021570299,71.4745131715881,400.386955209261,71.9846178076298,12926.942722649,13024.9538623885,-2235.04449718561,10740.3666119984,15211.529973039,45.6280327994151,376.046527728719,71.140385643997,11372.7492526543,11545.0080205115,181.597104664249,11257.8916240713,11659.8656490946,-57.6872193559118,406.384889415117,72.6304523753962,13587.6870205361,12934.6396779084,-470.122732732847,12688.7709211098,13833.5557773347,27.6090473068313,562.375082696699,86.8967255306486,20455.4452098354,32260.5402478787,-2596.81087746076,19909.4662345634,32806.5192231507,78.1265134419082
AKP_T84-16_Femur_R,462.967743440611,2.85157806974145,4.49108132230379,3.05794888778606,1.4380078565175,11.8386161363488,811.517279525865,107.748805083846,48668.8371314437,61191.8789997077,-6968.59732474446,45561.9007174843,64298.8154136671,65.9703845391166,698.029973292105,95.3598829636233,35458.1880856216,42643.1674251491,987.953926676029,35324.8174535767,42776.538057194,-82.3117315319858,711.687457778061,98.5731956901091,44786.1764880832,38840.5180233917,6760.66471130985,34427.935893908,49198.7586175669,-33.131868174625,797.614246619656,103.074394401342,56614.7467065603,46543.4655987844,508.589881752642,46517.8474697179,56640.3648356268,-2.88360272931495,1023.99914579727,116.975587695819,73277.7042907866,101177.019866198,-15696.0357150878,66228.3504454794,108226.373711505,65.8143490544416
AKS_T12-2_Femur_R,416.682479135271,1.86070435230386,3.32033098707642,3.56956468556663,2.04721004605279,10.7978100709997,535.424126638768,86.9499444492324,29002.7774356993,20273.6101831058,-7474.37302228537,15982.7999820135,33293.5876367916,29.8588226100141,382.523207385499,71.0969823139614,13625.3783079619,10591.9154815482,-2606.13856364485,9093.28084853025,15124.0129409799,29.9006359670308,371.667516438719,70.1273211698873,11561.3668556253,10682.9691737035,36.5752623983314,10681.448861778,11562.8871675508,-2.38022464813711,392.435210907744,71.3519840208468,12023.7024704237,12580.0558574034,104.543379865192,12004.7065018556,12599.0518259715,-79.7014767518014,591.709637299718,89.9058016444734,21223.6552168735,38051.4495356479,-163.917702382687,21222.0586639525,38053.0460885689,89.441958676206
AUC_GT9-14_Femur_R,422.296242378542,3.40086792081363,6.00611714752341,4.70578644041181,2.2648728009248,16.3776443096737,482.88647828711,80.1388899660943,18213.978277579,19650.838241248,-2779.87210330979,16061.2011004717,21803.6154183553,52.2452297190899,412.668047956365,73.0450759602234,12707.4561991339,14606.2172626822,-91.5136548016815,12703.0557586052,14610.6177032108,87.247048872309,400.789164046617,74.6832624409045,12411.1390230399,14461.0671358536,2532.55716050365,10703.9981970998,16168.2079617938,-56.0169606841138,410.976343589511,73.036097957087,13637.7103804148,13393.3259472618,451.521469150335,13047.7547889408,13983.2815387359,-37.4285728865046,518.229487339403,83.8496296784859,18608.8087213231,26203.6420793639,-3110.40506884135,17497.5602939855,27314.8905067015,70.3398133961038
BG_150_Femur_R,465.781496499896,3.12444751853982,4.03043190525764,3.31641967644549,1.93767036711657,12.4089694673595,789.445768166429,116.662953128489,52334.6325200973,60461.9008786723,1632.81633699812,52018.8589844716,60777.6744142981,-79.0545771409776,559.173614949328,86.5391390377228,18614.7855819725,34407.4518616569,-4208.49608501115,17563.2968442333,35458.9405993961,75.97189700758,509.060679211352,81.7369896573417,17687.0967051247,24632.1888650511,1443.35472722728,17399.0777815177,24920.2077886582,-78.7149570194902,559.581791621691,85.0798000483568,22469.3962794722,27972.0166785864,1042.64580854475,22278.4593622387,28162.9535958199,-79.6225632805288,801.31944108413,102.842777236567,39924.2917646564,66465.5222183437,-559.218789313224,39912.5143548831,66477.299628117,88.7935023894604
BG_155_Femur_R,439.141972606389,3.77603526294239,6.08763311407436,4.86067830426222,1.947915758395,16.672262439674,835.100763658439,110.72936558644,50137.0981861247,67503.1103329927,2003.62674538862,49908.9250667623,67731.2834523552,-83.5031423296097,476.316307689621,78.8101900142357,22491.1227672903,14868.7657036211,-2775.96861230455,13964.9592367503,23394.9292341611,18.0343365627316,460.825923066843,78.5468341034925,20666.5110181529,14309.0159970832,318.481109586267,14293.1014045319,20682.4256107042,-2.86070705771866,486.099177606939,80.7069637850272,21398.3640005879,17221.2294090365,-1438.54865053338,16773.7494716292,21845.8439379952,17.2790096773143,618.523388944464,90.303693718893,27714.2124034485,34857.9558379272,-3429.93368099524,26334.0428627378,36238.1253786379,68.0806600055649
BG_170_Femur_R,394.373657015708,3.73992780251205,5.26534977854917,3.81918970887316,1.46044720128655,14.2849144912209,726.804682563145,110.077021993962,41728.3818242021,52883.3624915918,7211.37127609387,38189.2788191475,56422.4654966464,-63.8597196467307,425.4875742941,75.4758603548119,15626.4849686388,14673.9817525227,-4348.60250867664,10775.6294502082,19524.8372709533,41.874985825472,391.030753197312,73.7231180146374,12725.4764929646,12655.9171675324,-168.783064292475,12518.3676460381,12863.0260144588,39.1782643549692,393.948967508016,71.9960018602281,13008.5342468845,12192.9385575471,1097.37483887158,11430.0397638398,13771.4330405918,-34.8071606252417,598.664175491949,89.3947884813686,22480.016178748,37409.730768009,-679.443452124421,22449.158842082,37440.588104675,87.3996642218269
BG_204_Femur_R,395.038955642845,2.49558447534581,4.11581993665759,4.28703317404514,2.50868784790319,13.4071254339517,644.184666922545,94.9748610864408,33199.4550298184,36545.7162088894,-8967.16941589198,25750.6618473118,43994.5093913961,50.2844739662293,530.776362149436,84.0107131512144,20044.9790335773,25842.0590778799,-1884.56145134123,19486.192614113,26400.8454973442,73.4845199813878,502.267472573582,83.3905394371751,20132.2107812671,21397.8728243006,2444.56353228539,18239.8950812697,23290.188524298,-52.2568527797189,532.717866435456,83.7847315020775,21578.3746025029,24199.1727624529,-138.87639923998,21571.0360746572,24206.5112902986,86.9751809906441,698.432029279264,98.0087989812289,28677.1718399167,55436.3509816396,-6135.63301791692,27337.406478742,56776.1163428143,77.6823415667388
BG_482_Femur_R,416.540726639332,2.16655190748565,4.86135566548074,5.70489895376909,2.73178636769497,15.4645928944305,674.446254921664,96.2301851588244,32501.2565879473,43304.2180986673,-7079.86357568501,28997.6566249289,46807.8180616858,63.6706516968024,560.701987840121,87.4097419807047,27426.3241972069,24105.1627905881,-2705.13465190377,22591.585061,28939.901926795,29.2278984434722,534.775494572113,89.3585613896289,28001.1110467841,21049.7513231097,2460.22974244741,20267.1356471051,28783.7267227887,-17.6462182092827,628.648646317793,94.379469543552,34307.8143524691,31372.0528048721,-1536.92128862998,30714.6568876181,34965.2102697231,23.1581189271975,851.653132314463,109.451555818236,45198.3002035444,79403.9696727426,-8787.82119562549,43072.6987738244,81529.5711024626,76.402440776828
CCS_2004_Femur_R,427.544935196392,3.51602399423633,6.33964994462406,4.80679551288661,1.82096701886936,16.4834364706163,802.767503866934,108.560578953443,42804.1236538393,67762.0726529565,10799.5250160379,38779.930423151,71786.2658836448,-69.5632544308355,479.955600054209,80.4273422877298,20237.9500200139,16970.8937747106,978.318736028578,16700.3416267963,20508.5021679282,-15.4586797133808,449.166885168847,78.1209055985058,17042.9272856292,16092.4337629253,2534.55825174415,13988.9511829814,19146.409865573,-39.6899857650411,555.682256578624,85.1255913804724,23795.047642581,25645.8802557818,-898.966000694991,23430.2952738031,26010.6326245597,67.9153144650332,787.877099964123,105.608817518251,39635.808274999,67197.4579883462,-6949.14647302576,37982.8464792052,68850.41978414,76.6199629005708
