Left Side,Right Side,Score
ATE_ThT11-53_Femur_L,nan,nan
AUC_1-2_Femur_L,nan,nan
AUC_2-10_Femur_L,nan,nan
AUC_ET15-9_Femur_L,nan,nan
CCS_2011_Femur_L,nan,nan
CCS_2162_Femur_L,nan,nan
ET24-629_Femur_L,nan,nan
ET35-84_Femur_L,nan,nan
KA_T11-6_Femur_L,nan,nan
Mauropigi_113_Femur_L,nan,nan
Mauropigi_314_Femur_L,nan,nan
Mauropigi_403_Femur_L,nan,nan
WS09_456_Femur_L,nan,nan
WS09_595_Femur_L,nan,nan
nan,AKP_T81-3_Femur_R,nan
nan,AKP_T84-16_Femur_R,nan
nan,AKMI_T12-2_Femur_R,nan
nan,CCS_2004_Femur_R,nan
nan,CCS_2011_Femur_R,nan
nan,CCS_2063_Femur_R,nan
nan,CCS_2152_Femur_R,nan
nan,CCS_2155_Femur_R,nan
nan,CCS_2173_Femur_R,nan
nan,CCS_2185_Femur_R,nan
nan,CCS_2189_Femur_R,nan
nan,CCS_2203_Femur_R,nan
nan,CCS_2205_Femur_R,nan
nan,ET10-529_Femur_R,nan
nan,ET15-397_Femur_R,nan
nan,ET16-717_Femur_R,nan
nan,ET24-630_Femur_R,nan
nan,ET35-85_Femur_R,nan
nan,ET4A-758_Femur_R,nan
nan,Mauropigi_126_Femur_R,nan
nan,Mauropigi_159_Femur_R,nan
nan,Mauropigi_281_Femur_R,nan
nan,Mauropigi_300_Femur_R,nan
nan,Mauropigi_40_Femur_R,nan
nan,Mauropigi_98_Femur_R,nan
nan,WS09_325_Femur_R,nan
nan,WS09_456_Femur_R,nan
nan,WS09_595_Femur_R,nan
WS09_581_Femur_L,WS09_581_Femur_R,53.082584131828
Mauropigi_73_Femur_L,Mauropigi_73_Femur_R,35.4256308159673
Mauropigi_339_Femur_L,Mauropigi_339_Femur_R,35.0103670533
Mauropigi_318_Femur_L,Mauropigi_318_Femur_R,44.6992464600855
Mauropigi_285_Femur_L,Mauropigi_285_Femur_R,54.2205900031697
Mauropigi_244_Femur_L,Mauropigi_244_Femur_R,36.6918257805184
Mauropigi_119_Femur_L,Mauropigi_119_Femur_R,28.7978212919584
ET2-427_Femur_L,ET2-428_Femur_R,28.8523476190569
BG_170_Femur_L,BG_170_Femur_R,20.6802529039196
BG_150_Femur_L,BG_150_Femur_R,29.5691938675109
AUC_GT9-12_Femur_L,AUC_GT9-14_Femur_R,33.157008825273
AKP_T82-23_Femur_L,AKP_T82-20_Femur_R,21.376129607233
BG_204_Femur_L,BG_204_Femur_R,25.3423654072404
KA_T56-19_Femur_L,KA_T56-20_Femur_R,25.8350078367918
Mauropigi_241_Femur_L,Mauropigi_241_Femur_R,37.5256023413816
BG_482_Femur_L,BG_482_Femur_R,26.8077967213872
