,Bone.ID,Sex
5,AKMI_T7-6_Humerus_L.obj,Male
7,AKP_T102-5_Humerus_L.obj,Male
8,AKP_T102-6_Humerus_R.obj,Male
14,AKP_T57-7_Humerus_L.obj,Male
15,AKP_T57-8_Humerus_R.obj,Male
16,AKP_T59-44_Humerus_L.obj,Male
17,AKP_T59-48_Humerus_R.obj,Male
21,AKP_T82-16_Humerus_R.obj,Female
22,AKP_T82-17_Humerus_L.obj,Female
35,AKP_T88-91_Humerus_R.obj,Male
39,AKP_T98-7_Humerus_L.obj,Male
52,AUC_2-7_Humerus_R.obj,Female
54,AUC_BT5-3_Humerus_R.obj,Female
55,AUC_BT5-4_Humerus_L.obj,Female
56,AUC_Dad-4_Humerus_R.obj,Male
57,AUC_ET16-11_Humerus_L.obj,Female
58,AUC_ET16-12_Humerus_R.obj,Female
59,AUC_ET22-3_Humerus_R.obj,Male
61,AUC_GT14-3_Humerus_R.obj,Male
62,AUC_GT2-10_Humerus_R.obj,Female
63,AUC_GT2-9_Humerus_L.obj,Female
64,AUC_GT3-129_Humerus_R.obj,Female
65,AUC_GT3-136_Humerus_L.obj,Female
66,AUC_GT4-7_Humerus_R.obj,Female
67,AUC_GT8-7_Humerus_R.obj,Female
131,ET10-521_Humerus_L.obj,Female
135,ET15-388_Humerus_L.obj,Male
136,ET15-389_Humerus_R.obj,Male
140,ET16-707_Humerus_L.obj,Female
141,ET16-708_Humerus_R.obj,Female
150,ET24-621_Humerus_L.obj,Female
151,ET24-622_Humerus_R.obj,Female
154,ET27-555_Humerus_R.obj,Male
155,ET33B-485_Humerus_L.obj,Female
156,ET33B-486_Humerus_R.obj,Female
158,ET35-76_Humerus_L.obj,Female
163,ET36BN-248_Humerus_R.obj,Female
165,ET38_842_Humerus_L.obj,Female
166,ET4A-749_Humerus_R.obj,Male
169,ET4b-589_Humerus_L.obj,Male
170,ET4b-590_Humerus_R.obj,Male
174,KA_T11-2_Humerus_L.obj,Female
175,KA_T11-3_Humerus_R.obj,Female
181,KA_T13-5_Humerus_L.obj,Male
182,KA_T13-6_Humerus_R.obj,Male
189,KA_T56-17_Humerus_R.obj,Female
200,KG_T10-39_Humerus_R.obj,Male
203,Mauropigi_113_Humerus_L.obj,Male
204,Mauropigi_113_Humerus_R.obj,Male
208,Mauropigi_119_Humerus_L.obj,Male
209,Mauropigi_119_Humerus_R.obj,Male
212,Mauropigi_125_Humerus_R.obj,Female
218,Mauropigi_159_Humerus_R.obj,Female
222,Mauropigi_187_Humerus_L.obj,Male
228,Mauropigi_244_Humerus_L.obj,Male
229,Mauropigi_244_Humerus_R.obj,Male
231,Mauropigi_253_Humerus_L.obj,Male
232,Mauropigi_253_Humerus_R.obj,Male
235,Mauropigi_271_Humerus_L.obj,Male
236,Mauropigi_271_Humerus_R.obj,Male
239,Mauropigi_277_Humerus_L.obj,Male
240,Mauropigi_277_Humerus_R.obj,Male
250,Mauropigi_293_Humerus_L.obj,Male
251,Mauropigi_293_Humerus_R.obj,Male
256,Mauropigi_311_Humerus_L.obj,Female
260,Mauropigi_318_Humerus_L.obj,Male
261,Mauropigi_318_Humerus_R.obj,Male
266,Mauropigi_339_Humerus_L.obj,Female
267,Mauropigi_339_Humerus_R.obj,Female
269,Mauropigi_343_Humerus_L.obj,Female
270,Mauropigi_343_Humerus_R.obj,Female
271,Mauropigi_397_Humerus_L.obj,Female
272,Mauropigi_397_Humerus_R.obj,Female
274,Mauropigi_40_Humerus_L.obj,Male
277,Mauropigi_403_Humerus_L.obj,Male
282,Mauropigi_73_Humerus_L.obj,Male
283,Mauropigi_73_Humerus_R.obj,Male
286,Mauropigi_80_Humerus_L.obj,Male
287,Mauropigi_80_Humerus_R.obj,Male
291,Mauropigi_98_Humerus_L.obj,Male
292,Mauropigi_98_Humerus_R.obj,Male
