             sample,Classifier 1,,Classifier 2,,Classifier 3,
,Sex,Prob,Sex,Prob,Sex,Prob
AKMI_T7-6_Humerus_L,1,0.94,1,0.95,1,0.95
AKP_T102-5_Humerus_L,1,0.92,1,0.92,1,0.87
AKP_T102-6_Humerus_R,1,0.86,1,0.83,1,0.88
AKP_T57-7_Humerus_L,1,0.79,1,0.63,1,0.56
AKP_T57-8_Humerus_R,2,0.53,1,0.51,1,0.61
AKP_T59-44_Humerus_L,2,0.92,2,0.73,2,0.84
AKP_T59-48_Humerus_R,2,0.72,2,0.8,2,0.5
AKP_T82-16_Humerus_R,2,1,2,1,2,1
AKP_T82-17_Humerus_L,2,1,2,1,2,1
AKP_T88-91_Humerus_R,1,0.79,1,0.65,1,0.87
AKP_T98-7_Humerus_L,2,0.96,2,0.95,2,0.91
AUC_2-7_Humerus_R,2,1,2,1,2,0.99
AUC_BT5-3_Humerus_R,2,0.94,2,0.95,2,0.6
AUC_BT5-4_Humerus_L,2,0.84,2,0.63,1,0.54
AUC_Dad-4_Humerus_R,1,0.95,1,0.79,1,0.91
AUC_ET16-11_Humerus_L,2,1,2,1,2,1
AUC_ET16-12_Humerus_R,2,1,2,0.99,2,1
AUC_ET22-3_Humerus_R,1,0.99,1,1,1,1
AUC_GT14-3_Humerus_R,1,1,1,1,1,1
AUC_GT2-10_Humerus_R,1,0.82,1,0.64,1,0.73
AUC_GT2-9_Humerus_L,1,0.91,1,0.65,1,0.73
AUC_GT3-129_Humerus_R,1,0.99,1,1,1,1
AUC_GT3-136_Humerus_L,1,1,1,0.99,1,1
AUC_GT4-7_Humerus_R,2,0.99,2,0.97,2,0.91
AUC_GT8-7_Humerus_R,2,0.98,2,0.99,2,0.94
ET10-521_Humerus_L,2,0.99,2,0.98,2,0.97
ET15-388_Humerus_L,1,0.99,1,1,1,1
ET15-389_Humerus_R,1,0.99,1,1,1,1
ET16-707_Humerus_L,1,0.72,1,0.54,1,0.52
ET16-708_Humerus_R,2,0.93,2,0.97,2,0.57
ET24-621_Humerus_L,2,0.76,2,0.8,2,0.84
ET24-622_Humerus_R,2,0.71,2,0.79,2,0.78
ET27-555_Humerus_R,1,0.98,1,0.97,1,0.99
ET33B-485_Humerus_L,2,0.71,2,0.55,2,0.6
ET33B-486_Humerus_R,2,0.69,2,0.55,2,0.78
ET35-76_Humerus_L,2,0.85,2,0.87,2,0.89
ET36BN-248_Humerus_R,2,1,2,1,2,1
ET38_842_Humerus_L,2,1,2,1,2,1
ET4A-749_Humerus_R,1,0.97,1,0.73,1,0.95
ET4b-589_Humerus_L,2,0.95,2,0.71,2,0.82
ET4b-590_Humerus_R,2,0.69,2,0.83,1,0.51
KA_T11-2_Humerus_L,2,1,2,1,2,1
KA_T11-3_Humerus_R,2,1,2,1,2,1
KA_T13-5_Humerus_L,2,0.77,2,0.89,2,0.91
KA_T13-6_Humerus_R,2,0.99,2,0.99,2,0.96
KA_T56-17_Humerus_R,1,0.72,1,0.7,1,0.73
KG_T10-39_Humerus_R,1,0.89,1,0.78,1,0.88
Mauropigi_113_Humerus_L,1,0.97,1,0.8,1,0.77
Mauropigi_113_Humerus_R,1,0.89,1,0.8,1,0.78
Mauropigi_119_Humerus_L,1,0.94,1,0.92,1,0.87
Mauropigi_119_Humerus_R,1,0.77,1,0.79,1,0.82
Mauropigi_125_Humerus_R,2,0.98,2,0.99,2,0.97
Mauropigi_159_Humerus_R,2,0.51,2,0.89,2,0.58
Mauropigi_187_Humerus_L,1,0.9,1,0.81,1,0.81
Mauropigi_244_Humerus_L,1,0.85,2,0.63,2,0.52
Mauropigi_244_Humerus_R,1,0.53,2,0.66,1,0.67
Mauropigi_253_Humerus_L,2,0.5,2,0.76,2,0.73
Mauropigi_253_Humerus_R,1,0.65,1,0.52,1,0.51
Mauropigi_271_Humerus_L,1,0.69,1,0.94,1,0.89
Mauropigi_271_Humerus_R,1,0.94,1,0.77,1,0.87
Mauropigi_277_Humerus_L,1,1,1,1,1,1
Mauropigi_277_Humerus_R,1,1,1,1,1,1
Mauropigi_293_Humerus_L,1,0.99,1,0.95,1,0.97
Mauropigi_293_Humerus_R,1,0.97,1,0.95,1,0.98
Mauropigi_311_Humerus_L,2,0.69,2,0.65,2,0.65
Mauropigi_318_Humerus_L,1,0.96,1,0.99,1,0.99
Mauropigi_318_Humerus_R,1,0.99,1,0.98,1,1
Mauropigi_339_Humerus_L,2,0.99,2,0.99,2,0.99
Mauropigi_339_Humerus_R,2,0.99,2,0.99,2,0.99
Mauropigi_343_Humerus_L,2,0.9,2,0.84,2,0.88
Mauropigi_343_Humerus_R,2,0.87,2,0.86,2,0.91
Mauropigi_397_Humerus_L,2,1,2,1,2,1
Mauropigi_397_Humerus_R,2,1,2,0.99,2,0.99
Mauropigi_403_Humerus_L,1,1,1,1,1,1
Mauropigi_40_Humerus_L,1,0.97,1,0.99,1,0.99
Mauropigi_73_Humerus_L,1,0.96,1,0.95,1,0.99
Mauropigi_73_Humerus_R,1,0.97,1,0.98,1,0.98
Mauropigi_80_Humerus_L,1,0.93,1,0.93,1,0.94
Mauropigi_80_Humerus_R,1,0.94,1,0.97,1,0.95
Mauropigi_98_Humerus_L,1,0.93,2,0.75,1,0.95
Mauropigi_98_Humerus_R,1,0.85,1,0.97,1,0.96
