sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKP_T102-6_Humerus_R,311.423078939657,1.76792704156518,2.70177297680965,0.85799247771681,1.76093262505387,7.0886251211455,413.06826272834,73.9664049917014,13182.6235312286,14492.2042445647,1996.94178392136,11735.8604387651,15938.9673370281,-54.0770698512865,371.633986641002,69.9318989465715,11550.9823002426,10959.2356757886,1617.09708088511,9611.16738750316,12899.050588528,-39.8157609767313,317.91953757245,64.9231709004053,8895.20097248895,7742.4176296346,1700.04482707256,6523.71048123407,10113.9081208895,-35.6355147153486,300.25782826903,63.0219879998104,7468.03741326731,7183.6801534601,158.753488922748,7112.74512109304,7538.97244563436,-24.0762872046479,309.757066321227,70.321518506228,6835.10002688278,10170.4196105136,-1764.08704838266,6075.19060330818,10930.3290340882,66.6952463632776
AKP_T57-8_Humerus_R,321.989470255624,1.45058350526967,3.04814125926669,1.81977482948495,2.07637336020447,8.39487295422578,385.609486756031,71.9489663109911,10087.1464579615,14478.9143352062,1247.32967372024,9757.61209720402,14808.4486959638,-75.2010457268883,288.077439379894,61.315169654182,6200.97871277579,7179.85559929698,525.14185694743,5972.55647341089,7408.27783866189,-66.4922871918655,284.041488628283,61.566688504746,6540.17680286215,6859.97038296152,1595.24840510054,5096.8317342255,8303.31545159817,-47.8619098491348,261.475817461627,58.8600055821796,5638.34751331384,5438.81494816369,-192.572541966713,5321.69993818827,5755.46252328926,31.3063141459936,282.768542376465,66.5566525265767,4779.05848123754,9945.28919412152,-1143.0578583382,4537.44974279962,10186.8979325594,78.0650331058707
AKP_T59-48_Humerus_R,304.247628157803,2.10495625141404,3.48516380058795,1.06502266094585,2.5960509311867,9.25119364413455,400.882353193212,73.4448616401026,12158.8077151027,13859.0592788742,114.488634747507,12151.1331166474,13866.7338773294,-86.1649884392947,327.657728384604,66.4543780133979,8927.72018969205,8619.01762285818,888.149363599723,7871.90697654372,9674.83083600651,-40.0705241404251,295.427460762475,64.6889350121917,6982.28424367082,8126.27573255947,2497.18366747165,4992.42413722315,10116.1358390071,-51.4507012693873,264.587872302602,59.6289356960426,6409.4687633119,5068.75423605016,152.171132019564,5051.69974947393,6426.52324988813,-6.394704627967,313.492908730043,71.3364908287632,7140.16261261492,10977.1628979417,-2449.60373927951,5947.19987153832,12170.1256390183,64.0338097191339
AKP_T82-16_Humerus_R,285.194149577533,1.77267109620619,0.989379571380366,2.54029135424406,2.32186855107208,7.62421057290269,261.306813866892,59.6563937380408,5197.65404562624,5899.18417482695,182.819884982884,5152.86982013843,5943.96840031475,-76.2356643429684,226.681424450666,54.6828092636397,3584.04255261167,4806.81123435449,392.680872030338,3468.79832294564,4922.05546402051,-73.6440579283224,192.990117050416,50.406683743646,3017.76435706133,3081.27179331349,563.645662106263,2484.97867795633,3614.0574724185,-46.6122123067639,190.213234564754,50.0356002773973,3063.43741663882,2804.01264155408,-25.8546146833176,2801.46103330635,3065.98902488655,5.63630503894337,204.047958560737,56.906492937461,2720.28981733658,4918.45311818131,-722.283795884904,2504.20062102722,5134.54231449068,73.3441359250398
AKP_T88-91_Humerus_R,327.669988808226,1.24750529899654,2.95413294445893,0.496490370493145,1.63947958666272,6.33760820061133,410.517001851725,74.4565707956184,12315.7856530203,15787.9505651571,3080.16531329532,10516.1361266704,17587.6000915071,-59.7035188604873,311.425926718639,64.8693855556749,8278.93345509621,7759.86719411772,1277.56950028298,6715.73576887384,9323.06488034009,-39.2584266270854,283.973636723091,61.7951663246979,7616.11294195361,5948.84440112791,1832.60896333722,4769.17250771205,8795.78483536947,-32.7698591391498,264.664422591217,59.3826288684782,6517.20666567592,4980.10433806138,270.611892908256,4933.85387694827,6563.45712678904,-9.69874988918298,255.209524945622,61.3965466477229,4489.8833755977,6728.75491509265,-364.262690763094,4432.10898973485,6786.5293009555,80.9875955428541
AUC_2-7_Humerus_R,283.665756244065,1.02058590706088,1.83565877735627,2.59262198782039,3.2739216079511,8.72278828018863,288.132562526853,61.7900253449202,7021.36445459285,6451.71010981496,-729.991085237653,5952.94714529716,7520.12741911064,34.3426581382702,229.609599918317,54.4980291957362,4348.56445825502,4143.64746174767,-237.215625861012,3987.7089843669,4504.50293563579,33.3197261142484,215.367962307957,53.8057122393064,4207.5042340228,3410.14973288074,340.425718719562,3284.58160189023,4333.07236501331,-20.246807859842,193.168323911334,51.2506111836807,3308.19456742003,2902.25063913757,-469.749479191752,2593.49788096389,3616.94732559371,33.3157623424214,213.08949187481,57.8261033895752,3061.10574345106,5332.41617141379,-1188.38933806441,2552.99029707003,5840.53161779483,66.8500717623355
AUC_BT5-3_Humerus_R,298.666818933616,2.34600797129179,3.11241313238235,2.45883907774743,3.57103463816957,11.4882948195911,322.592663793684,64.9873366997589,8089.98430511771,8636.8225110144,131.532061138682,8059.99165983526,8666.81515629685,-77.1547360695252,319.723197983917,64.4493519283458,8523.01827900038,7887.74354992214,101.231339964959,7872.0023315522,8538.75949737033,-8.83856572182507,308.973224093111,64.1987303032913,8785.89481786195,7013.89907714421,1540.31882947034,6122.9404700672,9676.85342493896,-30.0461529701585,260.334755548645,60.4006812287984,6160.50314158179,5256.76871200466,-968.06956298896,4640.29952912327,6776.97232446318,32.4890888181344,256.106552714626,65.1910773257019,4150.49617966855,8686.06565386054,-2021.08749870394,3380.57746000269,9455.9843735264,69.1460216160929
AUC_Dad-4_Humerus_R,314.32188019597,0.835567485581297,2.32372763721502,1.04398413929551,2.48105425322064,6.68433351531247,447.120625447409,76.5668126223313,17499.8679711593,14723.0968544654,-306.927135004832,14689.5756912485,17533.3891343763,6.23287666737284,339.679014603224,66.6680090563767,10541.2018668522,8203.98312747097,692.890073524322,8014.01069509104,10731.1742992321,-15.3322422483737,316.775391027133,64.1006591137089,8140.21657684286,8100.86490382918,1243.8405401851,6876.54458762886,9364.53689304317,-44.5468678111001,285.582610473541,61.2191970324428,7844.18311464103,5501.68762207347,15.0857843449056,5501.59047292118,7844.28026379331,-0.368967190480854,289.796453283775,66.3273587500626,6409.66535878792,8683.1420210681,-2095.60205588204,5162.34789987188,9930.45947998415,59.2385870032929
AUC_ET16-12_Humerus_R,283.290185066218,1.09598800947034,1.61214531433803,3.87788243169864,3.26217522163341,9.84819097714041,275.527657793219,61.4842234954623,6067.0612762241,6302.40922873564,-88.6071727751469,6037.43149911612,6332.03900584362,71.5103332275067,265.003652185313,60.849562667449,4732.12842277777,7122.3177001883,498.480022048941,4632.33560388528,7222.11051908079,-78.6793679728567,227.077992439024,54.8334596669579,3795.78719666934,4655.3143851594,685.519480766067,3416.45641727914,5034.6451645496,-61.0421425201024,210.669573625149,52.3972844346922,3893.81143262841,3286.45441619928,-153.04324135699,3250.06988602761,3930.19596280008,13.3732451230207,221.471797015777,58.548632164375,3198.28613380305,5603.49517275158,-1063.41522577201,2795.5528157292,6006.22849082543,69.2574762888952
AUC_ET22-3_Humerus_R,330.201461792603,1.11356347969268,2.73576976815786,0.640377071517369,2.27097320113277,6.76068352050068,571.622036319181,87.2575604288851,26817.7405778948,25988.7828871148,2615.60695295335,23755.0184571214,29051.5050078883,-40.4977840104673,480.836359081617,79.2110821167076,19250.7337741481,18042.2029555807,1466.07949455008,17060.742736265,20232.1939934638,-33.8001495394102,445.427001127512,76.3434196482069,17849.7156576894,14737.1979838489,3374.43301974827,12577.4455489536,20009.4680925846,-32.6206319264839,412.535639859869,73.2410490452788,13686.1648158994,13758.4523536577,545.235210201747,13175.8766983805,14268.7404711766,-46.8963008233509,436.716025948989,80.9162426127737,12950.0967680842,20488.5064026418,-3709.94731898223,11430.5764020867,22008.0267686393,67.7269731551019
