sample, Classifier 1,, Classifier 2,, Classifier 3,
, Sex , Prob, Sex, Prob, Sex , Prob
AKMI_T7-6_Humerus_L,1,0.95,1,0.92,1,0.96
AKP_T102-5_Humerus_L,1,1,1,0.98,1,0.98
AKP_T102-6_Humerus_R,1,0.98,1,0.97,1,0.97
AKP_T57-7_Humerus_L,1,0.9,1,1,1,0.9
AKP_T57-8_Humerus_R,1,0.77,1,0.83,1,0.98
AKP_T59-44_Humerus_L,2,0.9,2,1,2,0.9
AKP_T59-48_Humerus_R,2,0.6,2,0.83,1,0.71
AKP_T82-16_Humerus_R,2,0.98,2,1,2,0.97
AKP_T82-17_Humerus_L,2,1,2,1,2,0.96
AKP_T88-91_Humerus_R,1,1,1,0.8,1,0.98
AKP_T98-7_Humerus_L,2,1,2,1,2,0.98
AUC_2-7_Humerus_R,2,1,2,0.96,2,0.97
AUC_BT5-3_Humerus_R,2,0.6,2,0.83,2,0.71
AUC_BT5-4_Humerus_L,1,0.9,1,1,2,0.9
AUC_Dad-4_Humerus_R,1,0.97,1,0.98,1,0.97
AUC_ET16-11_Humerus_L,2,0.95,2,0.98,2,1
AUC_ET16-12_Humerus_R,2,0.98,2,1,2,0.98
AUC_ET22-3_Humerus_R,1,0.77,1,0.8,1,0.92
AUC_GT14-3_Humerus_R,1,0.6,1,0.83,1,0.71
AUC_GT2-10_Humerus_R,1,1,1,0.8,1,0.92
AUC_GT2-9_Humerus_L,1,1,1,0.98,1,0.98
AUC_GT3-129_Humerus_R,1,1,1,0.96,1,0.98
AUC_GT3-136_Humerus_L,1,1,1,1,1,1
AUC_GT4-7_Humerus_R,1,0.98,1,0.96,1,0.98
AUC_GT8-7_Humerus_R,2,0.77,2,0.97,2,0.92
ET10-521_Humerus_L,2,1,2,1,2,0.98
ET15-388_Humerus_L,1,1,1,0.98,1,0.96
ET15-389_Humerus_R,1,0.98,1,0.96,1,0.97
ET16-707_Humerus_L,1,1,1,1,1,1
ET16-708_Humerus_R,2,0.77,2,0.8,1,0.71
ET24-621_Humerus_L,2,1,2,1,2,1
ET24-622_Humerus_R,2,0.6,2,0.8,2,0.92
ET27-555_Humerus_R,1,1,1,1,1,0.97
ET33B-485_Humerus_L,1,1,1,0.67,1,0.9
ET33B-486_Humerus_R,1,0.6,1,0.96,2,0.71
ET35-76_Humerus_L,2,1,2,1,2,1
ET36BN-248_Humerus_R,2,1,2,0.96,2,0.98
ET38_842_Humerus_L,2,0.95,2,0.98,2,1
ET4A-749_Humerus_R,1,1,1,0.97,1,0.92
ET4b-589_Humerus_L,2,1,2,1,2,1
ET4b-590_Humerus_R,1,0.6,2,0.83,1,0.71
KA_T11-2_Humerus_L,2,1,2,1,2,1
KA_T11-3_Humerus_R,2,0.77,2,0.96,2,0.98
KA_T13-5_Humerus_L,2,1,2,1,2,0.98
KA_T13-6_Humerus_R,2,0.98,2,1,2,0.97
KA_T56-17_Humerus_R,1,1,1,0.96,1,0.98
KG_T10-39_Humerus_R,1,0.98,1,0.97,1,0.98
Mauropigi_113_Humerus_L,1,1,1,0.98,1,1
Mauropigi_113_Humerus_R,1,0.98,1,1,1,0.98
Mauropigi_119_Humerus_L,1,0.95,1,1,1,0.96
Mauropigi_119_Humerus_R,1,1,1,0.97,1,0.97
Mauropigi_125_Humerus_R,2,1,2,1,2,0.98
Mauropigi_159_Humerus_R,1,0.77,2,0.83,1,0.71
Mauropigi_187_Humerus_L,1,1,1,0.98,1,1
Mauropigi_244_Humerus_L,2,0.9,1,1,2,0.9
Mauropigi_244_Humerus_R,1,0.6,1,0.83,1,0.92
Mauropigi_253_Humerus_L,1,0.9,1,1,1,0.9
Mauropigi_253_Humerus_R,1,0.77,1,0.8,1,0.71
Mauropigi_271_Humerus_L,1,1,1,0.98,1,0.98
Mauropigi_271_Humerus_R,1,0.98,1,0.97,1,0.98
Mauropigi_277_Humerus_L,1,1,1,1,1,1
Mauropigi_277_Humerus_R,1,0.77,1,0.97,1,0.92
Mauropigi_293_Humerus_L,1,0.95,1,0.92,1,0.96
Mauropigi_293_Humerus_R,1,0.98,1,1,1,0.97
Mauropigi_311_Humerus_L,1,0.9,1,0.67,2,0.9
Mauropigi_318_Humerus_L,1,1,1,0.98,1,1
Mauropigi_318_Humerus_R,1,1,1,0.96,1,0.98
Mauropigi_339_Humerus_L,2,1,2,1,2,1
Mauropigi_339_Humerus_R,2,0.98,2,0.97,2,0.97
Mauropigi_343_Humerus_L,2,1,2,1,2,0.98
Mauropigi_343_Humerus_R,2,1,2,0.96,2,0.97
Mauropigi_397_Humerus_L,2,1,2,1,2,0.96
Mauropigi_397_Humerus_R,2,0.98,2,0.97,2,0.97
Mauropigi_403_Humerus_L,1,1,1,1,1,0.98
Mauropigi_40_Humerus_L,1,1,1,1,1,1
Mauropigi_73_Humerus_L,1,0.95,1,1,1,1
Mauropigi_73_Humerus_R,1,1,1,1,1,0.97
Mauropigi_80_Humerus_L,1,0.95,1,1,1,0.96
Mauropigi_80_Humerus_R,1,1,1,1,1,0.97
Mauropigi_98_Humerus_L,1,1,1,1,1,0.98
Mauropigi_98_Humerus_R,1,0.77,1,0.8,1,0.92
