Individual,Assemblage,Humerus_Left,Humerus_Right
CCS_2004,Christ Church Spitalfields,,
CCS_2011,Christ Church Spitalfields,,
CCS_2022,Christ Church Spitalfields,,
CCS_2063,Christ Church Spitalfields,,
CCS_2070,Christ Church Spitalfields,,
CCS_2111,Christ Church Spitalfields,,
CCS_2152,Christ Church Spitalfields,,
CCS_2155,Christ Church Spitalfields,,
CCS_2162,Christ Church Spitalfields,,
CCS_2173,Christ Church Spitalfields,,
CCS_2182,Christ Church Spitalfields,,
CCS_2185,Christ Church Spitalfields,,
CCS_2189,Christ Church Spitalfields,,
CCS_2203,Christ Church Spitalfields,,
CCS_2205,Christ Church Spitalfields,,
BG_150,Black Gate,,
BG_155,Black Gate,,
BG_170,Black Gate,,
BG_204,Black Gate,,
BG_482,Black Gate,,
WS09_317,WS09,,
WS09_324,WS09,,
WS09_325,WS09,,
WS09_381,WS09,,
WS09_456,WS09,,
WS09_581,WS09,,
WS09_595,WS09,,
AUC_BT5,Agia Triada Thebes,AUC_BT5-4_Humerus_L,AUC_BT5-3_Humerus_R
AUC_GT2,Agia Triada Thebes,AUC_GT2-9_Humerus_L,AUC_GT2-10_Humerus_R
AUC_GT3,Agia Triada Thebes,AUC_GT3-136_Humerus_L,AUC_GT3-129_Humerus_R
AUC_GT4,Agia Triada Thebes,,AUC_GT4-7_Humerus_R
AUC_GT8,Agia Triada Thebes,,AUC_GT8-7_Humerus_R
AUC_GT9,Agia Triada Thebes,,
AUC_GT14,Agia Triada Thebes,,AUC_GT14-3_Humerus_R
AUC_1,Agia Triada Thebes,,
AUC_2,Agia Triada Thebes,,AUC_2-7_Humerus_R
AUC_Dad,Agia Triada Thebes,,AUC_Dad-4_Humerus_R
AUC_ET15,Agia Triada Thebes,,
AUC_ET16,Agia Triada Thebes,AUC_ET16-11_Humerus_L,AUC_ET16-12_Humerus_R
AUC_ET22,Agia Triada Thebes,,AUC_ET22-3_Humerus_R
KA_T13,Kerkira_Almiros,KA_T13-5_Humerus_L,KA_T13-6_Humerus_R
KA_T34,Kerkira_Almiros,,
KA_T57,Kerkira_Almiros,,
KA_T11,Kerkira_Almiros,KA_T11-2_Humerus_L,KA_T11-3_Humerus_R
