sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
001-Humerus_L,305.349673107281,0.805878882853996,1.04577322323683,3.77227277776531,3.66675398988463,9.29067887374075,482.032801526914,81.4384073493081,17513.3160848782,20137.0554985243,-1160.87023434294,17073.437571019,20576.9340123835,69.2472323548184,397.288538850239,77.753192284491,11315.7159699154,15487.2220092874,1221.94844650032,10984.1308533379,15818.8071258649,-74.8179449539557,309.374098245159,63.1610919550076,7997.15976319402,7503.15180279006,-1243.42729606669,6482.4324666334,9017.87909935068,39.3822937811448,319.311761415473,65.1047653856862,9051.46633269385,7625.55313687374,461.402022823311,7489.27541071951,9187.74405884808,-16.4548069294008,341.984756328292,72.9221331888014,8351.77016391195,12870.6150883207,2573.38000546704,7186.68178290803,14035.7034693246,-65.6415337565291
001-Humerus_R,302.439959244859,0.588818367549301,0.958931665742428,3.6458160141048,3.54559138339136,8.73915743078788,449.988308578287,77.4796557311597,15776.6846575001,16876.4281769449,931.237146229876,15245.0937157581,17408.0191186868,-60.2803830731583,379.422747545403,74.8009098286562,11520.4953415246,12627.8785606662,60.1439412072632,11517.238396763,12631.1355054278,-86.9003178802777,298.554258273297,62.161321340716,7995.31204841022,6530.40517256152,1246.23683642128,5817.31570514528,8708.40151582646,-29.7779388057794,305.063849756548,63.4016550921324,8369.38196483736,6829.95458946657,-735.275357378936,6535.20173837351,8664.13481593042,21.8445710796376,331.15878346035,70.2491314289374,7158.22738146727,12472.2388404811,-1858.6156243219,6572.6829593796,13057.7832625687,72.5133151170932
002-Humerus_L,309.179496703745,1.92183351061799,3.25519211233087,1.4584294846037,2.54002498867025,9.17548009622281,489.043778849512,81.2197003944142,20322.5600430069,18438.6982539863,-1267.83363754547,17801.1874931878,20960.0708038055,26.6948373758786,418.962464020036,74.7680934083847,16681.3187215752,12223.729677102,-1203.70845764915,11919.4550977608,16985.5933009163,14.1861095459489,382.854220553028,71.8047321876588,11508.0059446737,12757.0650554942,-2827.9695150819,9236.4262577014,15028.6447424664,51.2266659171062,335.004923725162,66.5474889625446,10016.2040498122,8307.64817372443,-739.343165038657,8032.13891449712,10291.7133090395,20.4374347452938,351.780720148987,73.448793524333,9610.43175478629,12642.5410837434,3003.72339256264,7761.8503372026,14491.1225013271,-58.3906126704974
002-Humerus_R,315.479896048003,1.2796049217212,2.50163072031618,0.922655157419557,2.11208598139736,6.8159767808543,494.25240942971,81.0909243085379,20514.6310643814,19019.083289393,1140.36881821318,18403.1831585195,21130.5311952549,-28.372973840412,442.789280992726,77.7172131031397,18232.0353498322,14206.4765749376,1110.67862385732,13920.367564044,18518.1443607258,-14.4452510826847,394.716864266503,72.3229918201983,12223.9081476092,13555.9889183284,2948.61717554135,9867.04379698598,15912.8532689517,-51.3642448801141,349.001986825743,67.6671519075307,10404.9032839837,9353.63655467474,-174.767569104718,9325.34380760604,10433.1960310524,9.19571199712882,370.17576812782,77.6702434235304,10624.1879740425,15258.8880165351,-4354.85479075775,8008.49923915119,17874.5767514265,59.0093971005696
003-Humerus_L,279.819835887951,0.623065018973288,1.81288171541228,2.43885394222826,3.32323871831917,8.198039394933,307.235463923751,64.001586097123,6449.83240988953,8976.30879497428,-52.1164668245042,6448.75780204903,8977.38340281478,88.8187654661772,223.306129016509,55.1806220761527,3740.03390621055,4543.65625309229,-522.843371139435,3482.43821750456,4801.25194179829,63.7713470565208,212.381224329625,53.8491833414583,4060.06194801242,3584.96382316258,-1117.08715456352,2680.44753371407,4964.57823746093,38.997427196176,194.160798095015,50.7538993905144,3585.22712435447,2613.02630490168,217.37518927307,2566.63673233012,3631.61669692603,-12.0466589183288,209.732078193029,56.7892059567899,3320.16653074234,4760.61167727897,1346.59360509387,2513.28894608881,5567.48926193251,-59.0699995736889
003-Humerus_R,280.990291955912,0.980430540409136,2.16388166082693,2.041399995535,2.75659036828448,7.94230256505554,296.893142049644,63.6546709593475,6254.02441170085,8157.96154522881,133.988019746613,6244.64135624626,8167.34460068341,-85.9941700041801,225.326119469283,55.0131206883664,3875.63870709883,4517.06673381189,649.177148273652,3472.27506702034,4920.43037389038,-58.1454132235257,214.063498893343,54.1101248160889,4047.7002760229,3752.20876636557,1200.25668207393,2690.63863568995,5109.27040669852,-41.491235262815,193.082131022158,50.687597104686,3459.35902587138,2667.74606314147,-174.065141515462,2631.1621604999,3495.94292851294,11.8693068638176,205.271305716295,55.9568130249001,3074.55332973842,4539.00055831847,-964.633639542081,2595.71564093097,5017.83824712592,63.6005055311761
004-Humerus_L,296.319474141325,2.37795010168952,3.21738539417755,2.00369174794696,2.54196079838007,10.1409880421941,297.618084282207,63.2181608709755,7736.78128658329,6638.91280363275,-326.852568900173,6548.97193739082,7826.72215282523,15.3854439933914,269.294412092548,59.6479981391622,5621.69315028124,6073.01093823254,-21.9243418721699,5620.63060019647,6074.0734883173,87.225365389032,220.151794839366,54.1951713889774,4604.78899576483,3471.81225778438,-826.357056002247,3036.41487669832,5040.18637685088,27.7841952496626,216.414735506326,54.9750382218165,4510.08460652595,3358.32985797329,250.412695617209,3306.24125520175,4562.17320929748,-11.7505893419162,233.294642786824,62.2213493052683,3966.31891652898,6136.82465713751,1414.07240454191,3269.05262626565,6834.09094740083,-63.752511215779
004-Humerus_R,298.529647577805,2.11038469983076,1.92325605901694,2.22181158312221,1.89144126521927,8.14689360718918,316.226604526442,65.3184780238045,8158.81842129531,8072.57165726483,-72.9934022263622,8030.91495408896,8200.47512447118,29.7130289187674,289.374711356294,61.4801926126877,6470.70597284906,7034.39203049049,382.665281538017,6277.29305947715,7227.8049438624,-63.1863106937031,320.235634415041,67.2859587473962,9325.42425355873,7478.35100354704,1273.78239730831,6828.53404673484,9975.24121037094,-27.02828973288,252.801716599015,59.3267659901554,5957.69941677452,4723.13379570728,-544.284044306946,4517.4444383838,6163.388774098,20.7019855709931,240.593397609452,61.6357045709935,4131.761818225,6293.54388012179,-1203.79849381232,3594.79740615956,6830.50829218723,65.9603384238608
005-Humerus_R,283.890051677258,0.945727821487539,1.45728186600505,2.36960068624357,2.95234188679249,7.72495226052864,272.553685470008,59.8884331804409,5476.73270706155,6491.71224385192,421.068669983019,5324.79492836224,6643.65002255124,-70.1586054962591,231.683139551759,55.8466623103678,3539.21539830516,5407.67180220234,652.563789001245,3333.87270205051,5613.014498457,-72.5327393032533,208.120349111236,52.8640282209859,3326.16382344592,3864.68857390909,815.923595783083,2736.22101894978,4454.63137840523,-54.131685248288,185.975129658433,49.6411593710244,2918.97556397382,2692.58877565002,178.621592267608,2594.31487279863,3017.24946682521,-28.818680450466,202.708307069002,55.0732479137102,2795.73414729963,4357.94563267012,-365.3942098164,2714.49476776105,4439.18501220869,77.4651158270982
006-Humerus_L,324.39023082911,1.17880713211744,1.09855699352276,2.86057482106942,3.2342088540264,8.37214780073602,397.472635903154,73.2015281596462,11913.5491721243,13589.2291520438,-395.502406775858,11824.8914542935,13677.8868698747,77.3651722468204,330.340587650777,66.0475256812374,9002.99522676466,8693.33638714333,-699.124278027448,8132.10232836686,9564.22928554113,38.7563549663862,310.731762684633,64.2579732801172,7117.65957793838,8907.91040268881,-1840.7857430121,5965.89914700027,10059.6708336269,57.966214509208,279.19772065238,59.5663000892873,6538.36505641974,5921.55302726085,128.267640182908,5895.94278872248,6563.97529495812,-11.2913380421978,301.100141974342,66.9085869133383,5849.79367552415,10070.5606551861,794.256295734526,5705.27993100827,10215.074399702,-79.6879257471534
006-Humerus_R,325.529634257393,0.926066107673838,0.954607859441949,2.91225198191422,3.09478391274681,7.88770986177682,393.20870062728,72.2903571152491,12351.9831927554,12589.1655076267,487.538108908497,11968.8201571244,12972.3285432577,-51.8356983156158,350.519316285193,67.8794850381712,10500.4883682803,9416.51410015216,168.605312016395,9390.89414764037,10526.108320792,-8.64012713748542,323.154593606398,64.9698217895223,7388.5332022802,9616.3559195479,1085.78666040442,6946.89604453608,10057.993077292,-67.866263617625,294.262070026363,61.3495927496321,7307.76595568985,6556.10494962669,-314.130521643764,6442.11247275925,7421.75843255729,19.9449498107409,323.260621686447,69.1546742505913,6981.44724350114,11265.0680356443,-749.878066576648,6853.96944997383,11392.5458291716,80.3520644256538
007-Humerus_L,300.230207475073,0.829877879130384,0.377648613601645,2.68068958520951,2.45672924587192,6.34494532381345,397.959703636608,71.8031400473587,12525.7874376463,12870.6409060814,-191.42867448494,12440.5789334201,12955.8494103077,66.0052540199449,272.080804167202,59.8914293356744,6624.24358942177,5362.11582943544,-251.336275169287,5313.90690425531,6672.4525146019,10.8580509322227,245.330224388992,56.6062273336893,5858.93728838967,4005.46160371022,-523.561570162434,3867.79362768204,5996.60526441785,14.7321623752556,236.121517691465,55.7720375935464,5481.90505970011,3686.14580557025,327.720286868165,3628.20724326902,5539.84362200134,-10.0258784199167,255.333743853448,61.4494215081851,4295.46348045453,7198.18695151127,1071.43940368505,3942.82042576617,7550.83000619963,-71.7820639089697
