Left Side,Right Side,Score
ABH075-Humerus_L,nan,nan
ABH165-Humerus_L,nan,nan
ABH175-Humerus_L,nan,nan
ABH201-Humerus_L,nan,nan
ABH220-Humerus_L,nan,nan
nan,WLH046-Humerus_R,nan
nan,WLH069-Humerus_R,nan
nan,ABH106-Humerus_R,nan
nan,ABH110-Humerus_R,nan
nan,ABH165-Humerus_R,nan
ABH077-Humerus_L,ABH077-Humerus_R,17.387158186071
ABH085-Humerus_L,ABH085-Humerus_R,15.6572006888059
ABH091-Humerus_L,ABH091-Humerus_R,18.9560220422667
ABH099-Humerus_L,ABH099-Humerus_R,12.8851204073743
ABH118-Humerus_L,ABH118-Humerus_R,18.3422561475757
ABH124-Humerus_L,ABH124-Humerus_R,19.3084745613261
ABH136-Humerus_L,ABH136-Humerus_R,18.5855918661561
ABH137-Humerus_L,ABH137-Humerus_R,15.2985215280411
ABH138-Humerus_L,ABH138-Humerus_R,18.6939526414863
ABH139-Humerus_L,ABH139-Humerus_R,16.926577096962
ABH144-Humerus_L,ABH144-Humerus_R,18.5644025242954
ABH153-Humerus_L,ABH153-Humerus_R,18.4628188473479
ABH158-Humerus_L,ABH158-Humerus_R,19.8039845373681
ABH166-Humerus_L,ABH166-Humerus_R,19.6203995719281
ABH179-Humerus_L,ABH179-Humerus_R,17.7847338723224
ABH183-Humerus_L,ABH183-Humerus_R,18.6842588252247
ABH223-Humerus_L,ABH223-Humerus_R,16.0093234013572
ABH233-Humerus_L,ABH233-Humerus_R,18.5493607331473
ABH235-Humerus_L,ABH235-Humerus_R,17.6152115408455
ABH240-Humerus_L,ABH240-Humerus_R,18.3987611028734
WLH013-Humerus_L,WLH013-Humerus_R,14.7162222552378
WLH033-Humerus_L,WLH033-Humerus_R,17.5684291384224
WLH047-Humerus_L,WLH047-Humerus_R,18.4221503481777
WLH048-Humerus_L,WLH048-Humerus_R,19.1954780379051
ABH086-Humerus_L,ABH086-Humerus_R,16.5966846485512
ABH122-Humerus_L,ABH122-Humerus_R,16.0437119007235
WLH066-Humerus_L,WLH066-Humerus_R,33.2491265850385
WLH055-Humerus_L,WLH055-Humerus_R,29.9737360217476
WLH045-Humerus_L,WLH045-Humerus_R,47.2009716817761
WLH014-Humerus_L,WLH014-Humerus_R,40.3884285815567
ABH250-Humerus_L,ABH250-Humerus_R,55.3839729717046
ABH247-Humerus_L,ABH247-Humerus_R,77.7250829974537
ABH245-Humerus_L,ABH245-Humerus_R,48.1466426436607
ABH231-Humerus_L,ABH231-Humerus_R,24.9173461475891
ABH213-Humerus_L,ABH213-Humerus_R,63.8332745823002
