sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-3_Tibia_R,383.014761280293,1.48903131687333,2.34905267745627,2.32747843259858,1.18538172430092,7.3509441512291,945.516836864178,118.51821956011,82173.7007419261,77126.7883530932,28936.3793068736,50604.0420666964,108696.447028323,-42.5080066272405,610.851246611524,96.9377230648658,39955.6817923445,29449.4408292804,14140.4413695823,19617.888396888,49787.2342247369,-34.8100794565344,498.236809132755,89.3284424992455,26632.9556123177,20476.2559396001,9381.59302906593,13680.8767196181,33428.3348322997,-35.9169814206177,469.859114389671,83.3694223921393,19703.044078955,19365.1574549456,6329.08198766525,13202.7643638471,25865.4371700535,-44.2354783256864,552.179214535874,85.8218819844292,23856.5005698833,25830.4574498036,1271.71387763283,23233.7018117473,26453.2562079395,-63.9075376733032
AKMI_T7-4_Tibia_L,395.038733733512,1.6155546203909,3.27314782632806,2.88745092735643,1.48970694430872,9.26586031838411,991.165454902713,121.750640663675,87417.9456706917,87962.7725390324,-31707.7462813214,55981.4426408804,119399.275568844,45.2461189754244,643.404723922178,98.5216584703493,43010.1383115712,32522.1344408147,-14511.8609744244,22335.8523464262,53196.4204059596,35.0660929368006,520.541746758104,89.6415589921254,28141.6493574043,22322.8489277136,-10532.4024332933,14305.3964105511,36159.1018745667,37.2790375504691,481.639055395803,83.2751449799437,20639.5220924726,19758.3557167624,-6291.43056029115,13892.1003907196,26505.7774185154,42.997084087695,582.113197646168,87.6791686599819,25691.1905879215,29533.3930219854,-2554.45116416694,24416.0673703751,30808.5162395318,63.4726857012258
AKP_T102-7_Tibia_R,339.462656332999,1.69396336038064,1.71300072162994,0.900481846667022,1.45312184095674,5.76056776963435,834.942565713085,108.56154887824,59299.6490752335,58186.3393409372,11524.8391845893,47204.7195159242,70281.2689002465,-43.6173686889275,488.690100394928,85.2593911039919,26021.0917255266,16717.3574682733,6920.44385406755,13030.6149454234,29707.8342483766,-28.0456603447173,371.195062897349,74.2424749921437,13335.5780604265,10994.0045684612,3744.99407687162,8241.053015274,16088.5296136137,-36.319669846478,321.795467702127,66.4064692689269,8119.90737913213,9260.25342201547,1875.82892523381,6729.51124057874,10650.6495605689,-53.4535318555235,453.213733348367,77.7145368738015,13802.4169500176,19931.6157144567,-916.803418641092,13668.2200145682,20065.8126499061,81.6724785542228
AKP_T102-8_Tibia_L,339.13443668862,1.02073053272342,1.36434672147318,0.241624254154689,1.20905040681844,3.83575191516973,795.108106330211,106.920066319011,58665.1115744588,50126.5872128516,-14277.4912574281,39493.7234991939,69297.9752881165,36.6761292203799,481.854408165234,83.988084320995,27007.8674499672,14913.94893643,-6578.85426590275,12025.19111481,29896.6252715872,23.7061531620621,389.61998234538,74.6684094235406,16253.3506080611,10350.3969262877,-3965.80037150675,8358.31349860945,18245.4340357393,26.671092521145,338.701475314719,67.418443224825,10319.0396993653,8757.26331954754,-1997.43857663683,7393.49600505108,11682.8070138618,34.3236229333278,456.536284950306,77.6593729415058,14281.437403957,19868.8580873018,-1173.6522327847,14044.9205203726,20105.3749708862,78.606235461812
AKP_T57-4_Tibia_R,374.436348003308,2.30277169289654,2.50301372987029,0.585886500162368,1.07850430403212,6.47017622696132,816.527866722522,107.359280994788,61443.2025747399,52767.2886187211,15873.2269769004,40649.9362589131,73560.5549345478,-37.3575004199803,518.565190110008,89.1426574027888,29636.6226863972,18504.6423650245,4661.4534159923,16810.5089442335,31330.7561071882,-19.972895352145,420.542610877629,81.5864686900449,18326.3019347558,13692.4338733559,3816.70866115483,11544.4548806309,20474.2809274808,-29.370072217907,368.829696977583,72.1897952167651,11183.462850594,11865.2506924024,2736.98804341391,8766.22113032675,14282.4924126696,-48.5498354869084,471.53565996611,78.9966180217064,16564.0569779523,19648.4354431195,41.4155832516169,16563.5009692103,19648.9914518616,-89.2308440905831
AKP_T57-5_Tibia_L,377.478577917134,2.73833773397753,3.085591244334,0.272294459426495,0.863605825515523,6.95982926325354,793.558216954222,105.402345942586,58728.5436071103,48774.4485505729,-13988.4762229522,38903.9889096652,68599.0032480181,35.2073157781438,504.350336349399,86.4864823064807,27222.3916456038,17195.9737470532,-3471.76256859712,16111.199480395,28307.1659122619,17.3517462489213,422.396702710765,81.1366389751877,17861.9417161325,13755.2427330114,-2566.98529529142,12521.3962096172,19095.7882395267,25.6717205939799,368.996353764357,71.190837941228,11258.1723023062,11493.2397501713,-2352.2457296599,9020.52574673473,13730.8863057428,46.4302481879304,466.137413243654,78.5221514652007,16192.8009160183,19175.6371105253,358.462019301347,16150.3275698844,19218.1104566591,-83.2426592561402
AKP_T81-1_Tibia_R,382.553063807799,1.85441100166841,2.89245074907854,1.8822014187796,0.238393056081514,6.86745622560806,842.260953266107,110.520342907456,81661.3921317098,44569.6211810714,16734.5745195687,38135.597681083,88095.4156316983,-21.0304976960929,597.466768335912,95.683901384668,47191.8366356944,19087.5199413796,4455.5561294803,18398.0659399323,47881.2906371417,-8.79620066018178,531.875036925694,89.736907005286,33432.6671713316,17643.7124782171,5045.93214403834,16168.867342463,34907.5123070857,-16.2927958422592,459.871797859694,79.7301903829369,20473.2355419255,15143.6008229084,3610.27976778358,13321.1727510632,22295.6636137708,-26.7841237714709,550.1997715255,86.1138946468985,23985.3241199241,25582.9325746473,1877.93801638101,22743.3590347421,26824.8976598293,-56.5215385735051
AKP_T81-2_Tibia_L,388.867654778304,1.78141003076367,3.24263560811121,1.94988910577495,0.0937128481556404,7.06764759280548,890.431008425753,113.930997962355,90642.8306969002,51937.8951017404,-22335.8864844029,41736.8549027981,100843.870895842,24.54669116903,593.30173714734,95.3149312634403,46572.2022919858,19945.4377360164,-8762.60318190458,17320.5214158671,49197.1186121352,16.6760583262084,512.431490577787,87.5206840360812,31814.5833859989,16318.7355392668,-6389.10673320888,14024.1991081877,34109.119817078,19.7548671258591,454.555014449967,79.5534167047667,20298.9504085091,14856.1763638482,-4393.54045812996,12409.4742729248,22745.6524994325,29.112830697231,552.24285688958,85.8589847975893,23641.7115817489,26178.8844985227,-1877.49666477986,22644.3974843606,27176.1985959109,62.0230486180689
AKP_T82-19_Tibia_R,313.651869418187,0.727322796923434,1.73650902498498,1.41661606310278,0.589021044236137,4.46946892924733,533.850055352451,86.5061592934141,25748.3855048826,24078.50034391,9259.83590600463,15616.0405926242,34210.8452561684,-42.4238384117318,347.410082827109,69.9056076490461,11895.7486507164,9297.69833004674,3970.58088430283,6419.04723126646,14774.3997494967,-35.9419223011076,276.285378789814,62.8803467680355,7142.62721811958,6744.28362446478,3175.01415332135,3762.20027930147,10124.7105632829,-43.2052411385645,241.713208091615,57.924454364211,4576.50791268777,5619.28562886175,1837.27280166004,3188.07539455734,7007.71814699218,-52.9215501585445,321.329630032274,64.8547549348703,7794.97077187302,8943.2677907479,473.379731318425,7624.98563678662,9113.25292583431,-70.2473791925292
AKP_T82-22_Tibia_L,316.730584046405,0.804767842991761,2.09746400404971,0.860390609811456,0.572141362256995,4.33476381910992,509.133029377185,85.1099403832556,23506.7885997556,22665.4081438986,-9552.5629289667,13524.2764335277,32647.9203101265,43.739175553692,328.007372569714,68.6538135173016,10332.3387577756,9094.82667678447,-4379.46793942646,5290.62008233568,14136.5453522244,40.9790776284866,274.987522157068,62.9342745957218,6757.10777077868,7140.54285708767,-3335.76982340096,3607.55071715642,10290.0999107099,46.6446781230413,252.215166404966,59.812900401175,4790.86302916919,6546.34526265417,-2147.9247739817,3348.25712386849,7988.95116795487,56.1135945326586,324.239837076059,65.0541525836636,7903.75363202879,9150.03502232396,-568.824721783006,7683.1728742901,9370.61578006265,68.8045364465287
