sample,Classifier 1,,Classifier 2,,Classifier 3,
,Sex,Prob.,Sex,Prob.,Sex,Prob.
AKMI_T7-3_Tibia_R,1,1,1,1,1,1
AKMI_T7-4_Tibia_L,1,1,1,1,1,1
AKP_T102-7_Tibia_R,2,0.83,2,0.82,2,0.73
AKP_T102-8_Tibia_L,2,0.93,2,0.94,2,0.94
AKP_T57-4_Tibia_R,1,0.7,1,0.74,1,0.82
AKP_T57-5_Tibia_L,1,0.8,1,0.76,1,0.78
AKP_T81-1_Tibia_R,1,0.96,1,0.98,1,0.99
AKP_T81-2_Tibia_L,1,0.95,1,0.94,1,0.9
AKP_T82-19_Tibia_R,2,1,2,1,2,1
AKP_T82-22_Tibia_L,2,0.99,2,0.99,2,1
AKP_T84-51_Tibia_R,1,1,1,1,1,1
AKP_T84-57_Tibia_L,1,1,1,1,1,1
AKP_T88-2_Tibia_R,1,0.98,1,0.98,1,0.98
AKP_T88-4_Tibia_L,1,0.99,1,0.99,1,0.98
AKP_T98-4_Tibia_R,2,0.7,2,0.66,2,0.51
AKP_T98-5_Tibia_L,2,0.54,2,0.55,2,0.59
AKS_T12-3_Tibia_R,2,0.97,2,0.97,2,0.97
ATE_ThT11-48_Tibia_R,1,0.99,1,0.99,1,0.98
ATE_ThT11-56_Tibia_L,1,1,1,1,1,0.99
AUC_1-1_Tibia_L,2,0.99,2,0.99,2,0.99
AUC_1-3_Tibia_R,2,0.96,2,0.96,2,0.96
AUC_2-11_Tibia_R,2,1,2,1,2,1
AUC_2-12_Tibia_L,2,1,2,1,2,1
AUC_ET15-7_Tibia_R,2,0.99,2,0.99,2,0.99
AUC_ET15-8_Tibia_L,2,0.99,2,0.99,2,0.99
AUC_GT14-2_Tibia_R,1,0.92,1,0.92,1,0.93
AUC_GT9-11_Tibia_L,2,0.99,2,0.99,2,1
AUC_GT9-13_Tibia_R,2,0.97,2,0.97,2,0.98
BG_150_Tibia_L,2,0.73,2,0.71,2,0.82
BG_150_Tibia_R,2,0.73,2,0.71,2,0.67
BG_155_Tibia_L,2,0.94,2,0.94,2,0.96
BG_155_Tibia_R,2,0.82,2,0.82,2,0.81
BG_170_Tibia_L,2,0.98,2,0.98,2,0.98
BG_170_Tibia_R,2,1,2,1,2,1
BG_204_Tibia_L,2,0.87,2,0.87,2,0.9
BG_204_Tibia_R,2,0.98,2,0.98,2,0.97
BG_482_Tibia_L,2,0.55,2,0.61,2,0.5
BG_482_Tibia_R,2,0.8,2,0.77,2,0.68
CCS_2004_Tibia_L,2,0.78,2,0.72,2,0.73
CCS_2004_Tibia_R,2,0.55,2,0.51,1,0.64
CCS_2011_Tibia_L,2,0.55,2,0.57,2,0.58
CCS_2011_Tibia_R,2,0.6,2,0.59,2,0.59
CCS_2022_Tibia_R,1,0.58,1,0.64,1,0.78
CCS_2063_Tibia_L,2,0.61,2,0.6,1,0.59
