sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-4_Tibia_L,395.038733733512,1.6155546203909,3.27314782632806,2.88745092735643,1.48970694430872,9.26586031838411,991.165454902713,121.750640663675,87417.9456706917,87962.7725390324,-31707.7462813214,55981.4426408804,119399.275568844,45.2461189754244,643.404723922178,98.5216584703493,43010.1383115712,32522.1344408147,-14511.8609744244,22335.8523464262,53196.4204059596,35.0660929368006,520.541746758104,89.6415589921254,28141.6493574043,22322.8489277136,-10532.4024332933,14305.3964105511,36159.1018745667,37.2790375504691,481.639055395803,83.2751449799437,20639.5220924726,19758.3557167624,-6291.43056029115,13892.1003907196,26505.7774185154,42.997084087695,582.113197646168,87.6791686599819,25691.1905879215,29533.3930219854,-2554.45116416694,24416.0673703751,30808.5162395318,63.4726857012258
AKP_T102-8_Tibia_L,339.13443668862,1.02073053272342,1.36434672147318,0.241624254154689,1.20905040681844,3.83575191516973,795.108106330211,106.920066319011,58665.1115744588,50126.5872128516,-14277.4912574281,39493.7234991939,69297.9752881165,36.6761292203799,481.854408165234,83.988084320995,27007.8674499672,14913.94893643,-6578.85426590275,12025.19111481,29896.6252715872,23.7061531620621,389.61998234538,74.6684094235406,16253.3506080611,10350.3969262877,-3965.80037150675,8358.31349860945,18245.4340357393,26.671092521145,338.701475314719,67.418443224825,10319.0396993653,8757.26331954754,-1997.43857663683,7393.49600505108,11682.8070138618,34.3236229333278,456.536284950306,77.6593729415058,14281.437403957,19868.8580873018,-1173.6522327847,14044.9205203726,20105.3749708862,78.606235461812
AKP_T57-5_Tibia_L,377.478577917134,2.73833773397753,3.085591244334,0.272294459426495,0.863605825515523,6.95982926325354,793.558216954222,105.402345942586,58728.5436071103,48774.4485505729,-13988.4762229522,38903.9889096652,68599.0032480181,35.2073157781438,504.350336349399,86.4864823064807,27222.3916456038,17195.9737470532,-3471.76256859712,16111.199480395,28307.1659122619,17.3517462489213,422.396702710765,81.1366389751877,17861.9417161325,13755.2427330114,-2566.98529529142,12521.3962096172,19095.7882395267,25.6717205939799,368.996353764357,71.190837941228,11258.1723023062,11493.2397501713,-2352.2457296599,9020.52574673473,13730.8863057428,46.4302481879304,466.137413243654,78.5221514652007,16192.8009160183,19175.6371105253,358.462019301347,16150.3275698844,19218.1104566591,-83.2426592561402
AKP_T81-2_Tibia_L,388.867654778304,1.78141003076367,3.24263560811121,1.94988910577495,0.0937128481556404,7.06764759280548,890.431008425753,113.930997962355,90642.8306969002,51937.8951017404,-22335.8864844029,41736.8549027981,100843.870895842,24.54669116903,593.30173714734,95.3149312634403,46572.2022919858,19945.4377360164,-8762.60318190458,17320.5214158671,49197.1186121352,16.6760583262084,512.431490577787,87.5206840360812,31814.5833859989,16318.7355392668,-6389.10673320888,14024.1991081877,34109.119817078,19.7548671258591,454.555014449967,79.5534167047667,20298.9504085091,14856.1763638482,-4393.54045812996,12409.4742729248,22745.6524994325,29.112830697231,552.24285688958,85.8589847975893,23641.7115817489,26178.8844985227,-1877.49666477986,22644.3974843606,27176.1985959109,62.0230486180689
AKP_T82-22_Tibia_L,316.730584046405,0.804767842991761,2.09746400404971,0.860390609811456,0.572141362256995,4.33476381910992,509.133029377185,85.1099403832556,23506.7885997556,22665.4081438986,-9552.5629289667,13524.2764335277,32647.9203101265,43.739175553692,328.007372569714,68.6538135173016,10332.3387577756,9094.82667678447,-4379.46793942646,5290.62008233568,14136.5453522244,40.9790776284866,274.987522157068,62.9342745957218,6757.10777077868,7140.54285708767,-3335.76982340096,3607.55071715642,10290.0999107099,46.6446781230413,252.215166404966,59.812900401175,4790.86302916919,6546.34526265417,-2147.9247739817,3348.25712386849,7988.95116795487,56.1135945326586,324.239837076059,65.0541525836636,7903.75363202879,9150.03502232396,-568.824721783006,7683.1728742901,9370.61578006265,68.8045364465287
AKP_T84-57_Tibia_L,395.50799223531,1.79598715774835,2.1783122372938,1.56689957328768,0.367777008412906,5.90897597674273,997.894259470925,118.815126756521,92990.6401073206,83007.6067028732,-35166.3899393073,52480.2520779842,123517.99473221,40.9607013934744,707.803449175073,102.823714944858,51780.3479815911,40762.542330428,-20713.8079916788,24837.5968814267,67705.2934305924,37.5533780421299,610.003497290288,95.3954492611847,32860.1782683036,34138.795941193,-13157.3196359171,20326.644746698,46672.3294627986,46.3908954470283,521.583280044617,86.5305091821471,22034.5378853051,25512.3150005658,-8809.81562338487,14793.6388767458,32753.2140091251,50.5827817416097,529.670316043716,84.323727585413,21936.8182947035,24395.0667342103,-4572.2126294575,18431.4019161987,27900.4831127151,52.5233992846425
AKP_T88-4_Tibia_L,374.021649014741,2.46712811962413,3.82802718904203,3.67282576263122,1.62396734501127,11.5919484163087,982.859720483151,118.9635859071,87217.3878239477,81099.6697634116,-28916.4849344054,55080.7070126599,113236.350574699,41.9807818667288,651.922205712236,97.4307379605764,45744.0571048745,30360.9982095004,-13348.2753551109,22646.8118282979,53458.243486077,30.0243189542997,543.818807193699,89.7136954888859,32653.0982938958,21805.0716521926,-10883.7681596874,15068.6437862039,39389.5261598846,31.7551301718279,480.256351084376,81.1295281614751,19077.2028120336,19738.1512104665,-4863.50129534082,14532.9608096512,24282.3932128488,46.9436322103818,624.821357469508,90.9039102090658,27650.4048992611,36113.2359566947,1606.43940821354,27355.7266431644,36407.9142127913,-79.6054706380739
AKP_T98-5_Tibia_L,342.260645658696,1.77433087637302,1.69691107895697,1.89487141774697,1.53092018339748,6.89703355647445,776.145917983182,104.526458330918,53598.3994103973,50396.5946631048,-17295.1508218277,34628.4115582431,69366.582515259,42.355781353855,502.018272258853,88.2233546917045,26527.6380820461,19837.8152434597,-8365.73610357603,14173.0666826208,32192.3866428849,34.1033783037762,390.337875062653,77.2745039305704,14945.4685964702,12495.7244009563,-4239.27655555177,9307.9128061839,18133.2801912426,36.9420920846352,353.863582319189,69.5835787951244,10222.8564682496,10666.0303481098,-1921.69104876584,8510.01913753628,12378.8676788231,48.2888149350239,401.15055214413,72.7745943160557,11816.0954536636,14387.8088917163,-558.727293814251,11699.9522829902,14503.9520623898,78.2571042656922
ATE_ThT11-56_Tibia_L,386.540406151936,1.35682030746968,0.16794753978799,2.66172710423611,2.08279218585064,6.26928713734442,961.8349172414,118.379110656533,91890.4029354165,75171.218545638,-36409.9251661864,46173.5432779284,120888.078203126,38.5345967568217,621.007442740654,95.3291731692322,38700.5419706054,31513.4207019084,-14882.1067687646,19797.1550828454,50416.8075896685,38.2123672779835,519.937640801656,87.7767509252325,24248.4396607297,24114.1015998835,-8400.73902275782,15780.2630831647,32582.2781774484,44.7709475357667,454.149361921996,80.0804745789944,16049.3181421039,19370.1186053775,-4440.57860835877,12968.867468446,22450.5692790353,55.250769331433,530.418007498581,83.9855871315086,19795.0637267366,26175.8965358857,-23.4297195896954,19794.977696531,26175.9825660914,89.7896199515352
AUC_1-1_Tibia_L,366.403553076785,1.45625868744155,2.12150804572148,1.29674800902362,1.42059082586108,6.29510556804774,568.486712133738,89.0599779738247,33968.9130837516,20717.8589344333,-2660.24132836001,20203.7436551536,34483.0283630312,10.9380736011164,420.085007635046,76.0472075024579,19998.4990607993,10415.2610201273,-1964.87081910234,10028.0452128399,20385.7148680868,11.1483859855101,351.544188806076,69.1120631009894,12871.0941101547,8041.4663880297,-1991.95133148236,7325.91348294898,13586.6470152354,19.7594088895648,301.174023072802,63.201090540847,8660.73376277136,6357.73835415541,-1271.85357704495,5793.55587717417,9224.91623975259,23.9216308920969,341.611547915905,66.4729657981155,9900.07560764031,8914.26832138261,-58.9365936724295,8910.75729562726,9903.58663339565,3.4092483865958
AUC_2-12_Tibia_L,310.283036183557,0.981556130438224,2.85559265072351,1.91380746750086,0.601333947909896,6.35229019657248,494.255355184073,83.690654717514,21675.9290223609,21004.2390932412,-7170.6734295167,14161.5501355439,28518.6179800582,43.6592300157203,320.179631560817,67.5914477652322,10140.7436720365,8025.54556888578,-3327.29450750242,5591.81185294258,12574.4773879797,36.1834260994735,276.797672691741,62.4420908319068,7045.75153154623,6167.19323252056,-1955.07292814934,4602.65694003801,8610.28782402877,38.6683480297921,249.579172575892,58.9069974485964,4844.30544049702,5737.60750938709,-1154.77211663645,4052.81440396157,6529.09854592254,55.5729153449052,308.847182726912,64.1677460437123,6396.59867948242,9328.22469087314,-234.397664050362,6377.97575440207,9346.84761595348,85.4573849358864
AUC_ET15-8_Tibia_L,348.328974404935,0.844317277195766,1.82337270164988,0.583542503563988,1.17388543582911,4.42511791823874,464.748494485595,80.8491930361837,23149.9108718886,14350.3222957089,-4963.75899269513,12117.086121403,25383.1470461944,24.2233740394148,390.592617485756,73.2392278532537,16418.0718346148,9951.52650860098,-3720.60937374063,8255.6018510176,18113.9964921981,24.5044026059793,328.507112556505,67.4220468788057,10549.8208873678,8063.81943238089,-3086.08263310494,5979.81597789604,12633.8243418527,34.0307979249376,298.90564438244,63.0832509329106,8331.16795075226,6594.34350367794,-1908.83253439952,5365.66692738548,9559.84452704472,32.7685576764089,327.483629986635,65.4728149003993,9069.88867831155,8349.48504642959,-1027.30455236602,7621.0638828597,9798.30984188144,35.3389506531961
AUC_GT9-11_Tibia_L,358.516861466612,1.78451213931758,3.89157310337676,2.20501525576417,1.1686680821038,9.0497685805623,499.540965977395,83.3285157954039,23577.8474112398,19087.334728311,-6133.15049900941,14801.3805324871,27863.8016070637,34.9465317589757,394.796081894455,73.4241169069872,15495.4727125655,10808.4780932179,-2857.7556899299,9456.20116414615,16847.7496416372,25.3232986484122,336.159415294326,67.3069638348103,10452.0094735016,8425.83057335154,-2134.91081868776,7075.83000448879,11802.0100423644,32.3070168501399,272.986095861441,61.1787730051043,6336.73592926769,6259.98796289277,-1648.63581536857,4649.27959085911,7947.44430130135,44.3333062637583,298.803428341036,63.1736855985742,6430.14205770131,8303.95304694178,-1043.18040243606,5964.90017851369,8769.19492612939,65.963888136888
BG_150_Tibia_L,376.50196069749,1.0650931674894,0.9886509550524,0.628076991570394,0.36204811577445,3.04386922988665,709.686328547912,102.284974980596,48644.0466251063,42323.457191752,-18239.1977043924,26972.7877089021,63994.7161079561,40.0849963613231,442.034179913656,81.5032182228895,22073.0193088617,14112.4527484297,-7891.59422446604,9254.18895379264,26931.2831034987,31.6174968426219,361.58107591254,73.0618241515234,13170.8733124407,11048.9658121509,-5872.15946424469,6142.68572797483,18077.1533966168,39.8792785614835,308.107239917404,65.8561147311618,7692.83796729107,8575.10807769871,-2424.64081315863,5669.52922931067,10598.4168156791,50.1557544951911,435.759571179032,76.8419164392574,14910.0717200045,16107.0493108896,-34.6937452539617,14909.066984014,16108.05404688,88.3411694013332
BG_155_Tibia_L,359.366342829141,0.965860973708009,1.76358043212973,1.46691709726242,0.726475527849966,4.92283403095012,665.586041591537,96.961135626646,44404.3952359122,34792.6805083796,-16092.038174167,22804.194848386,56392.8808959058,36.6859211521723,449.598209681989,79.7338843051468,20764.1983813623,14935.7777498777,-6464.17770990118,10759.2747566812,24940.7013745588,32.8664885103422,382.442182807938,72.6893995324185,13082.0830507984,11857.753746049,-3571.77381081904,8846.06496357428,16093.7718332731,40.1372971177053,319.576758697257,65.6856246786225,8034.72485033068,9108.58691477187,-2122.93560863638,6381.87266684754,10761.439098255,52.0967752608105,336.011179354393,66.8292093001705,8482.05549960659,9895.79905051328,-545.892422933022,8295.80564597,10082.0489041499,71.1611712564852
BG_170_Tibia_L,310.02711222116,0.899198268280343,0.865997436960411,1.13385229327829,1.31043479760971,4.20948279612875,631.175004183385,94.0055599091156,37434.9844428709,30917.1985130262,-9213.4397499077,24403.2794270597,43948.9035288375,35.2603819802459,355.138731821712,73.4865435469338,13922.2910664162,9041.47222377916,-3783.00158537374,6980.02656762122,15983.7367225741,28.5869951436707,299.509213189833,67.6644612342419,9624.21443970916,6665.85426321868,-2556.5192826445,5191.43238505166,11098.6363178762,29.9733473516023,255.711950465394,60.9500901940344,5705.9599470109,5707.71866876166,-1736.08578382576,3970.75330135393,7442.92531441863,45.0145107064952,325.116709572869,67.1586393422463,7594.13978773227,10017.516425954,-320.875272266265,7552.37307253928,10059.283141147,82.583793945456
