sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
AKMI_T7-3_Tibia_R,383.014761280293,1.48903131687333,2.34905267745627,2.32747843259858,1.18538172430092,7.3509441512291,945.516836864178,118.51821956011,82173.7007419261,77126.7883530932,28936.3793068736,50604.0420666964,108696.447028323,-42.5080066272405,610.851246611524,96.9377230648658,39955.6817923445,29449.4408292804,14140.4413695823,19617.888396888,49787.2342247369,-34.8100794565344,498.236809132755,89.3284424992455,26632.9556123177,20476.2559396001,9381.59302906593,13680.8767196181,33428.3348322997,-35.9169814206177,469.859114389671,83.3694223921393,19703.044078955,19365.1574549456,6329.08198766525,13202.7643638471,25865.4371700535,-44.2354783256864,552.179214535874,85.8218819844292,23856.5005698833,25830.4574498036,1271.71387763283,23233.7018117473,26453.2562079395,-63.9075376733032
AKP_T102-7_Tibia_R,339.462656332999,1.69396336038064,1.71300072162994,0.900481846667022,1.45312184095674,5.76056776963435,834.942565713085,108.56154887824,59299.6490752335,58186.3393409372,11524.8391845893,47204.7195159242,70281.2689002465,-43.6173686889275,488.690100394928,85.2593911039919,26021.0917255266,16717.3574682733,6920.44385406755,13030.6149454234,29707.8342483766,-28.0456603447173,371.195062897349,74.2424749921437,13335.5780604265,10994.0045684612,3744.99407687162,8241.053015274,16088.5296136137,-36.319669846478,321.795467702127,66.4064692689269,8119.90737913213,9260.25342201547,1875.82892523381,6729.51124057874,10650.6495605689,-53.4535318555235,453.213733348367,77.7145368738015,13802.4169500176,19931.6157144567,-916.803418641092,13668.2200145682,20065.8126499061,81.6724785542228
AKP_T57-4_Tibia_R,374.436348003308,2.30277169289654,2.50301372987029,0.585886500162368,1.07850430403212,6.47017622696132,816.527866722522,107.359280994788,61443.2025747399,52767.2886187211,15873.2269769004,40649.9362589131,73560.5549345478,-37.3575004199803,518.565190110008,89.1426574027888,29636.6226863972,18504.6423650245,4661.4534159923,16810.5089442335,31330.7561071882,-19.972895352145,420.542610877629,81.5864686900449,18326.3019347558,13692.4338733559,3816.70866115483,11544.4548806309,20474.2809274808,-29.370072217907,368.829696977583,72.1897952167651,11183.462850594,11865.2506924024,2736.98804341391,8766.22113032675,14282.4924126696,-48.5498354869084,471.53565996611,78.9966180217064,16564.0569779523,19648.4354431195,41.4155832516169,16563.5009692103,19648.9914518616,-89.2308440905831
AKP_T81-1_Tibia_R,382.553063807799,1.85441100166841,2.89245074907854,1.8822014187796,0.238393056081514,6.86745622560806,842.260953266107,110.520342907456,81661.3921317098,44569.6211810714,16734.5745195687,38135.597681083,88095.4156316983,-21.0304976960929,597.466768335912,95.683901384668,47191.8366356944,19087.5199413796,4455.5561294803,18398.0659399323,47881.2906371417,-8.79620066018178,531.875036925694,89.736907005286,33432.6671713316,17643.7124782171,5045.93214403834,16168.867342463,34907.5123070857,-16.2927958422592,459.871797859694,79.7301903829369,20473.2355419255,15143.6008229084,3610.27976778358,13321.1727510632,22295.6636137708,-26.7841237714709,550.1997715255,86.1138946468985,23985.3241199241,25582.9325746473,1877.93801638101,22743.3590347421,26824.8976598293,-56.5215385735051
AKP_T82-19_Tibia_R,313.651869418187,0.727322796923434,1.73650902498498,1.41661606310278,0.589021044236137,4.46946892924733,533.850055352451,86.5061592934141,25748.3855048826,24078.50034391,9259.83590600463,15616.0405926242,34210.8452561684,-42.4238384117318,347.410082827109,69.9056076490461,11895.7486507164,9297.69833004674,3970.58088430283,6419.04723126646,14774.3997494967,-35.9419223011076,276.285378789814,62.8803467680355,7142.62721811958,6744.28362446478,3175.01415332135,3762.20027930147,10124.7105632829,-43.2052411385645,241.713208091615,57.924454364211,4576.50791268777,5619.28562886175,1837.27280166004,3188.07539455734,7007.71814699218,-52.9215501585445,321.329630032274,64.8547549348703,7794.97077187302,8943.2677907479,473.379731318425,7624.98563678662,9113.25292583431,-70.2473791925292
AKP_T84-51_Tibia_R,388.682638384168,2.0634748838742,2.98921370759631,1.90058299555024,1.05258044034992,8.00585202737067,1079.26969957319,123.717327201173,101320.061769581,103008.777490758,40658.8457940815,61496.8074368818,142832.031823457,-45.5948421319422,741.371350460574,104.830367009122,55503.1620530693,44199.672476216,21124.4607801104,27983.9742864632,71718.8602428221,-37.5108035124138,584.559700176422,93.5619544021761,32090.8206246035,31446.7271182576,14656.2196878604,17109.0163819611,46428.5313609,-44.3706101810558,524.697453932755,85.865836312473,22238.5470229144,26071.0315505386,8852.61736297327,15097.1505994728,33212.4279739803,-51.1069205651981,540.928499431629,84.8740170695141,22580.9157329974,26007.575653726,5383.94933376038,18644.2536595991,29944.2377271243,-53.8262950373257
AKP_T88-2_Tibia_R,373.417339265585,2.01553988081458,2.5944810941737,3.2686314938051,1.81226281602243,9.6909152848158,959.122994919262,118.612304613652,88170.7368575751,76105.7281880433,32412.5846975866,49169.0536533379,115107.41139228,-39.7284808849619,598.401870877226,93.7595992881379,40490.4574605178,24428.1776324579,11991.8071146058,18026.6238896324,46892.0112033432,-28.0945159963587,500.997120437423,85.7004795841263,27919.1844876321,18075.8118302881,9170.73596494179,12589.5495399231,33405.4467779971,-30.8893729872816,484.249755297762,81.9353762954546,19991.1544405754,20258.7667868279,6306.42744810282,13817.1138138696,26432.8074135337,-45.6077433641453,606.482897264207,89.3571205113338,26263.9745221019,33482.5121508691,699.425775421261,26196.8296233942,33549.6570495768,-84.5164075857576
AKP_T98-4_Tibia_R,341.044405167294,1.78214920003707,2.55427229923072,1.94276860144599,1.83813984336936,8.11732994408315,758.361594232722,103.567637297854,53604.8010032228,45057.047975156,14788.2706960602,33937.4528002831,64724.3961780957,-36.9402345546481,498.192597536428,87.9240097906129,27678.3890594679,17626.441331889,6553.79621862508,14393.3197152545,30911.5106761024,-26.2580652935028,395.532202685224,77.869205867632,15802.5900382892,12245.5610468328,3888.61830609447,9748.04161589383,18300.1094692281,-32.7111717128627,346.5138450021,69.653975420425,10183.6081608394,10171.4959674108,2468.22729062012,7709.31734383017,12645.78678442,-44.9297090492731,389.731306186191,72.1354738669566,11012.5601200898,13819.3315978452,507.815212721929,10923.508985141,13908.382732794,-80.0536699899693
AKS_T12-3_Tibia_R,336.602217108503,0.191717776181745,1.32137730272079,0.800221977934395,0.385663348569235,2.69898040540617,576.590601122979,91.3123960838206,32586.3349385826,25984.4153045765,9655.97579184981,19080.7583131806,39489.9919299785,-35.5633320744659,404.081373927072,75.9685443325929,16656.8701634408,12029.919080841,4606.0200522899,9189.01883041892,19497.7704138629,-31.6654481761041,361.382878071196,70.8070940295088,11863.734056629,10433.4345498251,3278.76120022181,7792.7365447805,14504.4320616736,-38.84779636314,285.308145227418,63.2905354065981,6494.3336016108,7627.38918763503,2401.85617131962,4593.09584498873,9528.6269442571,-51.635912651948,362.634703678642,70.0709454147947,9713.93317048678,11950.841879031,1150.13770191263,9228.09426105954,12436.6807884582,-67.0999271701567
ATE_ThT11-48_Tibia_R,391.720030726569,1.64473298676603,0.438754579662258,2.50237270209225,2.12334214561568,6.70920241413622,953.981760372395,116.224430157233,88837.349576058,72518.6987682571,32396.3007264926,47270.0177693791,114086.030574936,-37.9317553323552,628.619475836035,94.8299667345689,38393.106060542,31869.9033683054,13777.3746463663,20973.3234934004,49289.685935447,-38.3406111375003,527.962828579899,86.7611173830669,24098.6979215597,24149.644485597,6723.85564498299,17400.2673060894,30848.0751010673,-45.1085318189817,468.78376168237,80.8337602811768,16664.9699646376,20336.6668001631,3184.03709771553,14825.4365447363,22176.2002200644,-59.9834196093291,530.906706651688,83.9902761754681,19334.3515403559,26942.7584115463,296.005747452237,19322.8527886834,26954.2571632187,-87.7753849531952
