Left Side,Right Side,Score
AKP_T84-57_Tibia_L,nan,nan
AKP_T88-4_Tibia_L,nan,nan
CCS_2152_Tibia_L,nan,nan
CCS_2173_Tibia_L,nan,nan
CCS_2185_Tibia_L,nan,nan
CCS_2203_Tibia_L,nan,nan
ET4A-759_Tibia_L,nan,nan
Mauropigi_119_Tibia_L,nan,nan
Mauropigi_125_Tibia_L,nan,nan
Mauropigi_318_Tibia_L,nan,nan
Mauropigi_98_Tibia_L,nan,nan
WS09_324_Tibia_L,nan,nan
WS09_456_Tibia_L,nan,nan
nan,AKP_T84-51_Tibia_R,nan
nan,AKP_T88-2_Tibia_R,nan
nan,AUC_GT14-2_Tibia_R,nan
nan,BG_150_Tibia_R,nan
nan,CCS_2152_Tibia_R,nan
nan,CCS_2185_Tibia_R,nan
nan,CCS_2203_Tibia_R,nan
nan,ET36BN-259_Tibia_R,nan
nan,Mauropigi_119_Tibia_R,nan
nan,Mauropigi_126_Tibia_R,nan
nan,Mauropigi_277_Tibia_R,nan
nan,Mauropigi_318_Tibia_R,nan
nan,Mauropigi_403_Tibia_R,nan
nan,Mauropigi_40_Tibia_R,nan
nan,Mauropigi_80_Tibia_R,nan
nan,Mauropigi_98_Tibia_R,nan
nan,WS09_324_Tibia_R,nan
nan,WS09_456_Tibia_R,nan
AUC_ET15-8_Tibia_L,AUC_ET15-7_Tibia_R,16.1705794328707
CCS_2111_Tibia_L,CCS_2111_Tibia_R,18.6062103749435
ET2-429_Tibia_L,ET2-430_Tibia_R,17.5770475816019
AKP_T82-22_Tibia_L,AKP_T82-19_Tibia_R,17.8943331266076
BG_170_Tibia_L,BG_170_Tibia_R,21.3817137636662
WS09_595_Tibia_L,WS09_595_Tibia_R,60.5625277296458
WS09_581_Tibia_L,WS09_581_Tibia_R,38.7337369637469
Mauropigi_403_Tibia_L,Mauropigi_285_Tibia_R,46.6265541397362
Mauropigi_281_Tibia_L,Mauropigi_281_Tibia_R,31.8510218237815
ET15-398_Tibia_L,ET15-399_Tibia_R,31.6691749037774
BG_482_Tibia_L,BG_482_Tibia_R,33.0633383646371
AUC_1-1_Tibia_L,AUC_1-3_Tibia_R,23.2928554429709
ATE_ThT11-56_Tibia_L,ATE_ThT11-48_Tibia_R,25.6434500949934
AKP_T81-2_Tibia_L,AKP_T81-1_Tibia_R,36.864230415778
AKMI_T7-4_Tibia_L,AKMI_T7-3_Tibia_R,54.3423987164942
ET10-530_Tibia_L,ET10-531_Tibia_R,20.6927460313197
CCS_2011_Tibia_L,CCS_2011_Tibia_R,24.586936935034
CCS_2205_Tibia_L,CCS_2205_Tibia_R,24.4804194144437
KA_T57-4_Tibia_L,KA_T57-5_Tibia_R,24.0078092696852
AUC_2-12_Tibia_L,AUC_2-11_Tibia_R,24.9262202045971
AKP_T98-5_Tibia_L,AKP_T98-4_Tibia_R,25.0746623381049
WS09_381_Tibia_L,WS09_381_Tibia_R,25.315942719498
AKP_T57-5_Tibia_L,AKP_T57-4_Tibia_R,26.5852547157793
ET35-86_Tibia_L,ET35-87_Tibia_R,26.6668261562528
CCS_2004_Tibia_L,CCS_2004_Tibia_R,27.4252003205329
CCS_2189_Tibia_L,CCS_2189_Tibia_R,27.3891645520294
WS09_317_Tibia_L,WS09_317_Tibia_R,27.8294446489302
ET4b-599_Tibia_L,ET4b-600_Tibia_R,48.0435096393251
CCS_2063_Tibia_L,CCS_2063_Tibia_R,28.7810570920636
KA_T56-21_Tibia_L,KA_T56-22_Tibia_R,28.9403104511009
AKP_T102-8_Tibia_L,AKP_T102-7_Tibia_R,35.1423548684637
