sample,Classifier 1,,Classifier 2,,Classifier 3,
,Sex,Prob.,Sex,Prob.,Sex,Prob.
AKMI_T7-3_Tibia_R,1,0.99,1,0.99,1,0.98
AKMI_T7-4_Tibia_L,1,0.96,1,0.96,1,0.94
AKP_T102-7_Tibia_R,2,0.78,2,1,2,0.91
AKP_T102-8_Tibia_L,2,0.96,2,0.96,2,1
AKP_T57-4_Tibia_R,1,0.99,1,1,1,0.98
AKP_T57-5_Tibia_L,1,0.97,1,0.93,1,0.71
AKP_T81-1_Tibia_R,1,1,1,0.99,1,0.94
AKP_T81-2_Tibia_L,1,0.96,1,0.96,1,0.94
AKP_T82-19_Tibia_R,2,1,2,1,2,0.94
AKP_T82-22_Tibia_L,2,0.96,2,0.96,2,0.99
AKP_T84-51_Tibia_R,1,0.78,1,0.6,1,0.94
AKP_T84-57_Tibia_L,1,0.7,1,0.8,1,0.71
AKP_T88-2_Tibia_R,1,1,1,1,1,0.98
AKP_T88-4_Tibia_L,1,0.96,1,0.96,1,0.94
AKP_T98-4_Tibia_R,2,0.46,2,0.58,1,0.64
AKP_T98-5_Tibia_L,1,0.6,1,0.8,1,0.44
AKS_T12-3_Tibia_R,2,0.99,2,0.99,2,0.94
ATE_ThT11-48_Tibia_R,1,1,1,1,1,1
ATE_ThT11-56_Tibia_L,1,0.96,1,0.96,1,0.99
AUC_1-1_Tibia_L,2,0.97,2,0.93,2,0.94
AUC_1-3_Tibia_R,2,0.99,2,0.99,2,0.94
AUC_2-11_Tibia_R,2,1,2,1,2,0.94
AUC_2-12_Tibia_L,2,0.97,2,0.93,2,0.94
AUC_ET15-7_Tibia_R,2,0.99,2,0.99,2,0.98
AUC_ET15-8_Tibia_L,2,0.96,2,0.96,2,0.99
AUC_GT14-2_Tibia_R,1,0.99,1,0.99,1,0.98
AUC_GT9-11_Tibia_L,2,0.7,2,0.8,2,0.71
AUC_GT9-13_Tibia_R,2,0.99,2,0.99,2,0.98
BG_150_Tibia_L,2,0.97,2,0.8,2,0.94
BG_150_Tibia_R,2,0.46,2,0.58,1,0.64
BG_155_Tibia_L,2,0.96,2,0.96,2,0.99
BG_155_Tibia_R,2,0.78,2,0.6,2,0.64
BG_170_Tibia_L,2,0.97,2,0.93,2,0.94
BG_170_Tibia_R,2,0.99,2,0.99,2,0.98
BG_204_Tibia_L,2,0.97,2,0.93,2,0.94
BG_204_Tibia_R,2,0.99,2,0.99,2,0.98
BG_482_Tibia_L,1,0.6,1,0.59,1,0.44
BG_482_Tibia_R,2,0.78,2,0.6,1,0.64
CCS_2004_Tibia_L,2,0.7,2,0.8,2,0.71
CCS_2004_Tibia_R,1,0.78,1,0.58,1,0.91
CCS_2011_Tibia_L,1,0.6,1,0.59,2,0.44
CCS_2011_Tibia_R,1,0.78,1,0.6,1,0.64
CCS_2022_Tibia_R,1,0.78,1,0.6,1,0.98
CCS_2063_Tibia_L,1,0.6,1,0.59,1,0.44
CCS_2063_Tibia_R,1,0.46,1,0.58,2,0.64
CCS_2070_Tibia_L,2,1,2,1,2,0.99
CCS_2070_Tibia_R,2,1,2,0.99,2,0.98
CCS_2111_Tibia_L,2,0.96,2,0.96,2,0.99
CCS_2111_Tibia_R,2,0.78,2,1,2,0.91
CCS_2152_Tibia_L,2,0.96,2,0.96,2,0.99
CCS_2152_Tibia_R,1,0.46,1,0.58,1,0.64
CCS_2155_Tibia_L,2,0.96,2,0.96,2,0.94
CCS_2155_Tibia_R,2,0.99,2,1,2,0.94
CCS_2162_Tibia_L,1,0.96,1,0.93,1,0.71
CCS_2162_Tibia_R,1,0.78,1,0.6,1,0.91
CCS_2173_Tibia_L,2,0.96,2,0.96,2,0.94
CCS_2182_Tibia_L,2,0.97,2,0.93,2,0.94
CCS_2182_Tibia_R,2,0.46,2,0.58,2,0.64
CCS_2185_Tibia_L,1,1,1,0.96,1,1
CCS_2185_Tibia_R,1,1,1,1,1,0.98
CCS_2189_Tibia_L,2,0.96,2,0.96,2,0.99
CCS_2189_Tibia_R,2,1,2,1,2,1
CCS_2203_Tibia_L,1,1,1,1,1,1
CCS_2203_Tibia_R,1,1,1,1,1,1
CCS_2205_Tibia_L,2,0.7,2,0.8,2,0.71
CCS_2205_Tibia_R,2,1,2,1,2,0.98
ET10-530_Tibia_L,2,0.97,2,0.93,2,0.94
ET10-531_Tibia_R,2,0.99,2,0.99,2,0.94
ET15-398_Tibia_L,1,0.7,1,0.8,1,0.71
ET15-399_Tibia_R,1,0.46,1,0.58,1,0.64
ET16-719_Tibia_R,2,0.78,2,0.6,2,0.91
ET16-718_Tibia_L,2,0.97,2,0.93,2,0.94
ET2-429_Tibia_L,2,1,2,0.96,2,0.99
ET2-430_Tibia_R,2,1,2,1,2,0.94
ET35-86_Tibia_L,2,0.97,2,0.93,2,0.94
ET35-87_Tibia_R,2,1,2,1,2,0.94
ET36BN-259_Tibia_R,2,0.46,2,0.58,2,0.64
ET4A-759_Tibia_L,1,0.96,1,1,1,0.99
ET4b-599_Tibia_L,1,0.97,1,0.93,1,0.94
ET4b-600_Tibia_R,1,0.99,1,0.99,1,0.98
KA_T11-9_Tibia_R,2,0.99,2,0.99,2,0.98
KA_T34-11_Tibia_R,1,0.78,1,0.6,1,0.64
KA_T56-21_Tibia_L,2,0.96,2,0.96,2,0.99
KA_T56-22_Tibia_R,2,1,2,1,2,1
KA_T57-4_Tibia_L,1,0.96,1,0.96,1,0.99
KA_T57-5_Tibia_R,1,0.46,1,0.6,1,0.64
Mauropigi_113_Tibia_R,1,1,1,1,1,0.98
Mauropigi_119_Tibia_L,1,0.97,1,0.93,1,0.94
Mauropigi_119_Tibia_R,1,1,1,1,1,0.98
Mauropigi_125_Tibia_L,2,0.96,2,0.96,2,0.99
Mauropigi_125_Tibia_R,2,0.99,2,0.99,2,0.98
Mauropigi_126_Tibia_R,2,0.99,2,0.99,2,0.98
Mauropigi_159_Tibia_L,2,1,2,1,2,0.99
Mauropigi_241_Tibia_R,2,1,2,1,2,1
Mauropigi_253_Tibia_L,1,0.6,1,0.59,2,0.44
Mauropigi_253_Tibia_R,1,0.99,1,0.99,1,1
Mauropigi_271_Tibia_R,2,0.46,2,0.58,2,0.64
Mauropigi_277_Tibia_R,1,1,1,1,1,0.91
Mauropigi_281_Tibia_L,1,0.97,1,0.8,1,0.94
Mauropigi_281_Tibia_R,1,0.99,1,0.99,1,0.98
Mauropigi_285_Tibia_R,1,1,1,1,1,1
Mauropigi_293_Tibia_L,1,1,1,1,1,1
Mauropigi_293_Tibia_R,1,0.78,1,0.6,1,0.91
Mauropigi_300_Tibia_R,1,1,1,0.99,1,0.94
Mauropigi_318_Tibia_L,1,0.96,1,0.93,1,0.94
Mauropigi_318_Tibia_R,1,1,1,1,1,0.94
Mauropigi_339_Tibia_L,2,0.97,2,0.93,2,0.71
Mauropigi_40_Tibia_R,1,1,1,1,1,0.94
Mauropigi_403_Tibia_L,1,1,1,1,1,1
Mauropigi_403_Tibia_R,1,1,1,1,1,1
Mauropigi_73_Tibia_L,1,0.6,1,0.59,1,0.71
Mauropigi_80_Tibia_L,2,0.6,1,0.59,2,0.44
Mauropigi_80_Tibia_R,1,0.99,1,1,1,0.94
Mauropigi_98_Tibia_L,1,0.96,1,0.96,1,0.99
Mauropigi_98_Tibia_R,1,1,1,0.99,1,0.98
WS09_317_Tibia_L,1,0.96,1,0.93,1,0.99
WS09_317_Tibia_R,1,1,1,1,1,0.91
WS09_324_Tibia_L,1,0.96,1,0.96,1,0.99
WS09_324_Tibia_R,1,1,1,1,1,0.98
WS09_325_Tibia_L,2,0.6,2,0.59,2,0.44
WS09_325_Tibia_R,2,0.46,2,0.58,1,0.64
WS09_381_Tibia_L,1,0.6,1,0.59,1,0.44
WS09_381_Tibia_R,1,0.78,1,0.6,2,0.64
WS09_456_Tibia_L,1,0.7,1,0.8,1,0.71
WS09_456_Tibia_R,1,0.99,1,0.99,1,0.91
WS09_581_Tibia_L,1,0.96,1,0.96,1,0.99
WS09_581_Tibia_R,1,0.99,1,0.99,1,0.98
WS09_595_Tibia_L,1,0.96,1,0.96,1,0.99
WS09_595_Tibia_R,1,0.78,1,0.58,2,0.64
