,Bone.ID,Sex
3,AKMI_T7-3_Tibia_R.obj,Male
4,AKMI_T7-4_Tibia_L.obj,Male
9,AKP_T102-7_Tibia_R.obj,Male
10,AKP_T102-8_Tibia_L.obj,Male
12,AKP_T57-4_Tibia_R.obj,Male
13,AKP_T57-5_Tibia_L.obj,Male
18,AKP_T81-1_Tibia_R.obj,Male
19,AKP_T81-2_Tibia_L.obj,Male
23,AKP_T82-19_Tibia_R.obj,Female
25,AKP_T82-22_Tibia_L.obj,Female
29,AKP_T84-51_Tibia_R.obj,Male
31,AKP_T84-57_Tibia_L.obj,Male
33,AKP_T88-2_Tibia_R.obj,Male
34,AKP_T88-4_Tibia_L.obj,Male
37,AKP_T98-4_Tibia_R.obj,Male
38,AKP_T98-5_Tibia_L.obj,Male
42,AKS_T12-3_Tibia_R.obj,Female
43,ATE_ThT11-48_Tibia_R.obj,Male
45,ATE_ThT11-56_Tibia_L.obj,Male
46,AUC_1-1_Tibia_L.obj,Female
48,AUC_1-3_Tibia_R.obj,Female
50,AUC_2-11_Tibia_R.obj,Female
51,AUC_2-12_Tibia_L.obj,Female
60,AUC_GT14-2_Tibia_R.obj,Male
69,AUC_GT9-11_Tibia_L.obj,Female
71,AUC_GT9-13_Tibia_R.obj,Female
76,BG_150_Tibia_L.obj,Female
77,BG_150_Tibia_R.obj,Female
80,BG_155_Tibia_L.obj,Female
81,BG_155_Tibia_R.obj,Female
86,BG_170_Tibia_L.obj,Female
87,BG_170_Tibia_R.obj,Female
90,BG_482_Tibia_L.obj,Female
91,BG_482_Tibia_R.obj,Female
93,CCS_2004_Tibia_L.obj,Female
94,CCS_2004_Tibia_R.obj,Female
97,CCS_2011_Tibia_L.obj,Female
98,CCS_2011_Tibia_R.obj,Female
99,CCS_2022_Tibia_R.obj,Male
101,CCS_2063_Tibia_L.obj,Male
102,CCS_2063_Tibia_R.obj,Male
103,CCS_2070_Tibia_L.obj,Female
104,CCS_2070_Tibia_R.obj,Female
106,CCS_2111_Tibia_L.obj,Female
107,CCS_2111_Tibia_R.obj,Female
109,CCS_2152_Tibia_L.obj,Female
110,CCS_2152_Tibia_R.obj,Female
112,CCS_2162_Tibia_L.obj,Male
113,CCS_2162_Tibia_R.obj,Male
115,CCS_2173_Tibia_L.obj,Male
117,CCS_2182_Tibia_L.obj,Male
118,CCS_2182_Tibia_R.obj,Male
120,CCS_2185_Tibia_L.obj,Male
121,CCS_2185_Tibia_R.obj,Male
123,CCS_2189_Tibia_L.obj,Female
124,CCS_2189_Tibia_R.obj,Female
126,CCS_2203_Tibia_L.obj,Male
127,CCS_2203_Tibia_R.obj,Male
129,CCS_2205_Tibia_L.obj,Female
130,CCS_2205_Tibia_R.obj,Female
133,ET10-530_Tibia_L.obj,Female
134,ET10-531_Tibia_R.obj,Female
138,ET15-398_Tibia_L.obj,Male
139,ET15-399_Tibia_R.obj,Male
143,ET16-718_Tibia_L.obj,Female
144,ET16-719_Tibia_R.obj,Female
147,ET2-429_Tibia_L.obj,Male
148,ET2-430_Tibia_R.obj,Male
161,ET35-86_Tibia_L.obj,Female
162,ET35-87_Tibia_R.obj,Female
164,ET36BN-259_Tibia_R.obj,Female
168,ET4A-759_Tibia_L.obj,Male
172,ET4b-599_Tibia_L.obj,Male
173,ET4b-600_Tibia_R.obj,Male
178,KA_T11-9_Tibia_R.obj,Female
185,KA_T34-11_Tibia_R.obj,Male
192,KA_T56-21_Tibia_L.obj,Female
193,KA_T56-22_Tibia_R.obj,Female
196,KA_T57-4_Tibia_L.obj,Male
197,KA_T57-5_Tibia_R.obj,Male
205,Mauropigi_113_Tibia_R.obj,Male
210,Mauropigi_119_Tibia_L.obj,Male
211,Mauropigi_119_Tibia_R.obj,Male
213,Mauropigi_125_Tibia_L.obj,Female
214,Mauropigi_125_Tibia_R.obj,Female
216,Mauropigi_126_Tibia_R.obj,Female
219,Mauropigi_159_Tibia_L.obj,Female
225,Mauropigi_241_Tibia_R.obj,Female
233,Mauropigi_253_Tibia_L.obj,Male
234,Mauropigi_253_Tibia_R.obj,Male
237,Mauropigi_271_Tibia_R.obj,Male
241,Mauropigi_277_Tibia_R.obj,Male
243,Mauropigi_281_Tibia_L.obj,Male
244,Mauropigi_281_Tibia_R.obj,Male
247,Mauropigi_285_Tibia_R.obj,Male
252,Mauropigi_293_Tibia_L.obj,Male
253,Mauropigi_293_Tibia_R.obj,Male
255,Mauropigi_300_Tibia_R.obj,Male
262,Mauropigi_318_Tibia_L.obj,Male
263,Mauropigi_318_Tibia_R.obj,Male
268,Mauropigi_339_Tibia_L.obj,Female
275,Mauropigi_40_Tibia_R.obj,Male
278,Mauropigi_403_Tibia_L.obj,Male
279,Mauropigi_403_Tibia_R.obj,Male
284,Mauropigi_73_Tibia_L.obj,Male
288,Mauropigi_80_Tibia_L.obj,Male
289,Mauropigi_80_Tibia_R.obj,Male
293,Mauropigi_98_Tibia_L.obj,Male
294,Mauropigi_98_Tibia_R.obj,Male
